"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Scherzer, Max","453286","Rangers","TEX","R",93.7,"1141","2465",15.216049382716049,0.46288032454361056,"FF","4-Seam Fastball",15.5,-15.7,0.3,"2",10.8,-8.1,2.8,"34",0.6029411764705882,0.8161764705882353
"2023","Williams, Trevor","592866","Nationals","WSH","R",89.7,"1131","2622",16.185185185185187,0.43135011441647597,"FF","4-Seam Fastball",22.6,-19.9,-2.7,"-14",6.4,-7.9,-1.5,"-19",0.11764705882352941,0.2769607843137255
"2023","Greene, Hunter","668881","Reds","CIN","R",98.3,"1128","2089",12.895061728395062,0.5399712781235041,"FF","4-Seam Fastball",13,-12.7,-0.3,"-3",11.6,-8.4,3.3,"39",0.4264705882352941,0.8602941176470589
"2023","Detmers, Reid","672282","Angels","LAA","L",94.3,"1123","2599",16.04320987654321,0.43208926510196227,"FF","4-Seam Fastball",15.1,-14.8,-0.3,"-2",11,-7.5,3.5,"47",0.4264705882352941,0.8823529411764706
"2023","Kirby, George","669923","Mariners","SEA","R",96.1,"1112","2825",17.438271604938272,0.39362831858407077,"FF","4-Seam Fastball",14.4,-13.8,-0.5,"-4",8.3,-7.7,0.6,"8",0.3799019607843137,0.5441176470588235
"2023","Singer, Brady","663903","Royals","KC","R",84,"1098","2612",16.123456790123456,0.4203675344563553,"SL","Slider",37.6,-37.4,0.2,"1",3.4,6.2,-2.7,"-44",0.546031746031746,0.21587301587301588
"2023","Flaherty, Jack","656427","Orioles","BAL","R",93.1,"1097","2634",16.25925925925926,0.4164768413059985,"FF","4-Seam Fastball",17.9,-16.2,-1.7,"-11",2.3,-7.8,-5.5,"-71",0.20098039215686275,0.04411764705882353
"2023","Bibee, Tanner","676440","Guardians","CLE","R",94.9,"1095","2326",14.358024691358025,0.47076526225279447,"FF","4-Seam Fastball",13.9,-13.8,-0.1,"-1",4.5,-6.3,-1.7,"-28",0.47794117647058826,0.2549019607843137
"2023","Oviedo, Johan","670912","Pirates","PIT","R",88.2,"1094","2980",18.395061728395063,0.36711409395973155,"SL","Slider",31.7,-32.7,-1,"-3",5.1,4,1.1,"28",0.37142857142857144,0.6793650793650794
"2023","Kremer, Dean","665152","Orioles","BAL","R",94.6,"1084","2925",18.055555555555557,0.3705982905982906,"FF","4-Seam Fastball",13.8,-14.8,0.9,"6",9.7,-7.5,2.1,"28",0.7009803921568627,0.7671568627450981
"2023","Rodriguez, Eduardo","593958","Tigers","DET","L",92.2,"1076","2446",15.098765432098766,0.4399018806214227,"FF","4-Seam Fastball",17.5,-16.2,-1.2,"-8",5.8,-6.9,-1.1,"-15",0.28431372549019607,0.31862745098039214
"2023","Elder, Bryce","693821","Braves","ATL","R",89.5,"1071","2849",17.58641975308642,0.3759213759213759,"SI","Sinker",25.9,-24.1,1.8,"7",13.2,-13.6,-0.3,"-2",0.7518248175182481,0.354014598540146
"2023","Webb, Logan","657277","Giants","SF","R",92.3,"1067","3182",19.641975308641975,0.33532369578881205,"SI","Sinker",31.3,-25.3,6,"24",16,-15.2,0.8,"5",0.9817518248175182,0.635036496350365
"2023","Ober, Bailey","641927","Twins","MIN","R",91.3,"1057","2327",14.364197530864198,0.45423291792006876,"FF","4-Seam Fastball",16.2,-16.5,0.2,"2",7.5,-6.4,1.1,"17",0.571078431372549,0.6151960784313726
"2023","Strider, Spencer","675911","Braves","ATL","R",85.6,"1048","3100",19.135802469135804,0.33806451612903227,"SL","Slider",35.9,-35.7,0.2,"1",5.6,4.7,0.9,"19",0.546031746031746,0.6571428571428571
"2023","López, Pablo","641154","Twins","MIN","R",94.9,"1043","3024",18.666666666666668,0.3449074074074074,"FF","4-Seam Fastball",16,-15,-1,"-7",5,-7.9,-2.8,"-36",0.3088235294117647,0.13970588235294118
"2023","Rodriguez, Grayson","680570","Orioles","BAL","R",97.4,"1043","2104",12.987654320987655,0.49572243346007605,"FF","4-Seam Fastball",13.2,-13.1,-0.1,"0",11.4,-7.8,3.7,"47",0.47794117647058826,0.8970588235294118
"2023","Senga, Kodai","673540","Mets","NYM","R",95.6,"1036","2795",17.253086419753085,0.3706618962432916,"FF","4-Seam Fastball",13.5,-14.1,0.6,"5",8,-7.5,0.4,"5",0.6544117647058824,0.5122549019607843
"2023","Matz, Steven","571927","Cardinals","STL","L",94.1,"1023","1866",11.518518518518519,0.5482315112540193,"SI","Sinker",19.3,-22.4,-3.1,"-14",14.6,-15.2,-0.6,"-4",0.12773722627737227,0.3102189781021898
"2023","Corbin, Patrick","571578","Nationals","WSH","L",80.5,"1021","2922",18.037037037037038,0.34941820670773444,"SL","Slider",42.1,-41.9,0.2,"0",2.6,7.1,-4.4,"-63",0.546031746031746,0.06984126984126984
"2023","Gray, Jon","592351","Rangers","TEX","R",95.7,"1014","2393",14.771604938271604,0.4237358963643962,"FF","4-Seam Fastball",16.9,-14.7,-2.2,"-15",10,-8.3,1.6,"20",0.13480392156862744,0.7034313725490197
"2023","Elder, Bryce","693821","Braves","ATL","R",82.7,"1005","2849",17.58641975308642,0.35275535275535275,"SL","Slider",41.6,-39.7,1.9,"5",0.1,5.2,-5.3,"-102",0.7555555555555555,0.025396825396825397
"2023","Clevinger, Mike","605182","White Sox","CWS","R",94.3,"1001","2100",12.962962962962964,0.4766666666666667,"FF","4-Seam Fastball",13.4,-15,1.6,"11",7.2,-7.3,-0.1,"-1",0.8602941176470589,0.4485294117647059
"2023","Cobb, Alex","502171","Giants","SF","R",94.5,"994","2506",15.469135802469136,0.39664804469273746,"SI","Sinker",23.7,-22.3,1.3,"6",16,-15.2,0.8,"5",0.7043795620437956,0.635036496350365
"2023","Stroman, Marcus","573186","Cubs","CHC","R",91.4,"987","2203",13.598765432098766,0.44802541988197914,"SI","Sinker",29.7,-25.7,4,"16",10.9,-15,-4.1,"-27",0.9233576642335767,0.051094890510948905
"2023","Weaver, Luke","596133","Yankees","NYY","R",94,"984","2258",13.938271604938272,0.4357838795394154,"FF","4-Seam Fastball",15,-15.3,0.3,"2",7.5,-8,-0.5,"-6",0.6029411764705882,0.39950980392156865
"2023","Nola, Aaron","605400","Phillies","PHI","R",79.4,"977","3087",19.055555555555557,0.31648850016196955,"CU","Curveball",54.8,-52,2.8,"5",12.5,10.9,1.6,"15",0.7522522522522522,0.6801801801801802
"2023","Cobb, Alex","502171","Giants","SF","R",89.5,"971","2506",15.469135802469136,0.3874700718276137,"FS","Split-Finger",32.2,-31.7,0.5,"2",13.1,-12.2,0.9,"8",0.6666666666666666,0.75
"2023","Allen, Logan","671106","Guardians","CLE","L",91.4,"963","2134",13.17283950617284,0.45126522961574506,"FF","4-Seam Fastball",16.6,-17.6,1,"6",4.1,-8.2,-4.1,"-50",0.7328431372549019,0.07598039215686274
"2023","Paxton, James","572020","Red Sox","BOS","L",95.2,"957","1690",10.432098765432098,0.5662721893491124,"FF","4-Seam Fastball",15.4,-14,-1.5,"-10",11.9,-6.9,4.9,"71",0.23529411764705882,0.9607843137254902
"2023","Bello, Brayan","678394","Red Sox","BOS","R",95,"951","2618",16.160493827160494,0.3632543926661574,"SI","Sinker",27.9,-24.1,3.7,"15",18,-15.9,2.2,"14",0.9051094890510949,0.9087591240875912
"2023","Pérez, Martín","527048","Rangers","TEX","L",91.6,"950","2223",13.722222222222221,0.42735042735042733,"SI","Sinker",22.9,-24.5,-1.6,"-6",16.4,-14.9,1.5,"10",0.2773722627737226,0.7737226277372263
"2023","France, J.P.","641585","Astros","HOU","R",93,"949","2202",13.592592592592593,0.43097184377838327,"FF","4-Seam Fastball",16.1,-15.9,-0.2,"-1",1.5,-7.7,-6.2,"-81",0.45588235294117646,0.02696078431372549
"2023","Abbott, Andrew","671096","Reds","CIN","L",92.7,"949","1897",11.709876543209877,0.5002635740643121,"FF","4-Seam Fastball",15.4,-15.9,0.4,"3",7.8,-6.9,0.9,"13",0.6127450980392157,0.5882352941176471
"2023","Gomber, Austin","596295","Rockies","COL","L",90.6,"949","2160",13.333333333333334,0.4393518518518518,"FF","4-Seam Fastball",16.1,-16,-0.1,"0",7.1,-5.1,2,"39",0.47794117647058826,0.75
"2023","Walker, Taijuan","592836","Phillies","PHI","R",87.9,"943","2837",17.512345679012345,0.33239337328163554,"FS","Split-Finger",33,-32.4,0.6,"2",11.8,-11,0.9,"8",0.7083333333333334,0.75
"2023","Smyly, Drew","592767","Cubs","CHC","L",91.9,"932","2401",14.820987654320987,0.3881715951686797,"SI","Sinker",16,-21.2,-5.2,"-24",8.2,-13.4,-5.2,"-39",0.021897810218978103,0.025547445255474453
"2023","Berríos, José","621244","Blue Jays","TOR","R",93.8,"925","2937",18.12962962962963,0.3149472250595846,"SI","Sinker",19.2,-22.3,-3.1,"-14",15.6,-15.1,0.6,"4",0.12773722627737227,0.5656934306569343
"2023","Hill, Rich","448179","Padres","SD","L",71.9,"913","2531",15.623456790123457,0.36072698538127224,"CU","Curveball",66.4,-65.2,1.2,"2",16.8,13.7,3.1,"22",0.6126126126126126,0.8018018018018018
"2023","Nola, Aaron","605400","Phillies","PHI","R",92.7,"913","3087",19.055555555555557,0.29575639779721413,"FF","4-Seam Fastball",16.8,-16.9,0.1,"1",12.2,-8.3,3.9,"47",0.5441176470588235,0.9117647058823529
"2023","Anderson, Tyler","542881","Angels","LAA","L",90.1,"907","2431",15.006172839506172,0.37309749074454956,"FF","4-Seam Fastball",15.1,-17,1.9,"11",4.9,-5.4,-0.4,"-8",0.8995098039215687,0.41421568627450983
"2023","Giolito, Lucas","608337","Guardians","CLE","R",80.9,"902","3190",19.691358024691358,0.2827586206896552,"CH","Changeup",30.7,-32.7,-2.1,"-6",12.8,-13.3,-0.5,"-4",0.24817518248175183,0.3248175182481752
"2023","Giolito, Lucas","608337","Guardians","CLE","R",84,"901","3190",19.691358024691358,0.28244514106583074,"SL","Slider",38.3,-37.8,0.5,"1",1.6,5.2,-3.6,"-69",0.5841269841269842,0.12380952380952381
"2023","Morton, Charlie","450203","Braves","ATL","R",94.9,"898","2842",17.54320987654321,0.3159746657283603,"FF","4-Seam Fastball",19.5,-15.3,-4.2,"-27",13.2,-8.6,4.7,"55",0.04411764705882353,0.9534313725490197
"2023","Dunning, Dane","641540","Rangers","TEX","R",91,"893","2696",16.641975308641975,0.33123145400593473,"SI","Sinker",25.4,-25.2,0.2,"1",14.1,-15,-0.9,"-6",0.5620437956204379,0.2846715328467153
"2023","Steele, Justin","657006","Cubs","CHC","L",83.3,"886","2678",16.530864197530864,0.3308439133681852,"SL","Slider",39.9,-38.8,1.1,"3",14,6.2,7.8,"126",0.6603174603174603,0.9746031746031746
"2023","Kershaw, Clayton","477132","Dodgers","LAD","L",86.5,"878","2026",12.506172839506172,0.43336623889437315,"SL","Slider",29.8,-34.7,-4.9,"-14",5.4,4.5,0.9,"21",0.031746031746031744,0.6571428571428571
"2023","Houser, Adrian","605288","Brewers","MIL","R",92.1,"875","1856",11.45679012345679,0.4714439655172414,"SI","Sinker",25.3,-23.4,1.9,"8",16.8,-15,1.8,"12",0.7700729927007299,0.8211678832116789
"2023","Bickford, Phil","641360","Mets","NYM","R",93.7,"873","1229",7.58641975308642,0.71033360455655,"FF","4-Seam Fastball",15.4,-16.4,1.1,"6",5.7,-8.7,-3,"-35",0.7769607843137255,0.125
"2023","Berríos, José","621244","Blue Jays","TOR","R",82.6,"869","2937",18.12962962962963,0.2958801498127341,"SV","Slurve",45.4,-44.9,0.5,"1",15.6,14.6,1,"7",1,1
"2023","Ashcraft, Graham","668933","Reds","CIN","R",88.3,"867","2324",14.345679012345679,0.3730636833046472,"SL","Slider",35.4,-32.9,2.5,"8",13.2,4,9.3,"234",0.7936507936507936,1
"2023","Hendricks, Kyle","543294","Cubs","CHC","R",80.7,"867","2108",13.012345679012345,0.4112903225806452,"CH","Changeup",33.5,-34.4,-0.9,"-3",10.4,-12.6,-2.2,"-17",0.3759124087591241,0.13503649635036497
"2023","Hill, Rich","448179","Padres","SD","L",88.4,"864","2531",15.623456790123457,0.3413670485973923,"FF","4-Seam Fastball",17.6,-18.8,1.2,"6",6.3,-6.2,0.1,"2",0.7892156862745098,0.4803921568627451
"2023","Junis, Jakob","596001","Giants","SF","R",84.2,"864","1389",8.574074074074074,0.6220302375809935,"SL","Slider",38.3,-37.5,0.8,"2",13.1,6,7.1,"117",0.6349206349206349,0.9587301587301588
"2023","Gilbert, Logan","669302","Mariners","SEA","R",88.7,"863","2922",18.037037037037038,0.29534565366187543,"SL","Slider",34.4,-32.7,1.8,"5",0.8,3.3,-2.5,"-75",0.746031746031746,0.23174603174603176
"2023","Luzardo, Jesús","666200","Marlins","MIA","L",85.1,"863","2988",18.444444444444443,0.28882195448460507,"SL","Slider",36.3,-36.4,-0.2,"-1",0.1,5.7,-5.8,"-103",0.4888888888888889,0.01904761904761905
"2023","Lyles, Jordan","543475","Royals","KC","R",91.2,"859","2817",17.38888888888889,0.3049343272985445,"FF","4-Seam Fastball",16.5,-16.6,0.1,"1",6.1,-6.2,-0.1,"-2",0.5441176470588235,0.4485294117647059
"2023","Javier, Cristian","664299","Astros","HOU","R",79.5,"858","2882",17.790123456790123,0.29770992366412213,"SL","Slider",41.1,-42.8,-1.6,"-4",14.1,11.5,2.6,"23",0.29523809523809524,0.8095238095238095
"2023","Taillon, Jameson","592791","Cubs","CHC","R",93.7,"855","2533",15.635802469135802,0.3375444137386498,"FF","4-Seam Fastball",14.2,-15,0.8,"5",7.6,-6.7,0.9,"14",0.6936274509803921,0.5882352941176471
"2023","Seabold, Connor","657756","Rockies","COL","R",92.6,"850","1562",9.641975308641975,0.5441741357234315,"FF","4-Seam Fastball",18.6,-16.1,-2.5,"-16",9.4,-7.5,1.8,"24",0.12254901960784313,0.7181372549019608
"2023","Kelly, Merrill","518876","D-backs","AZ","R",92.2,"842","2803",17.30246913580247,0.3003924366749911,"FF","4-Seam Fastball",17.4,-16.6,-0.8,"-5",7.4,-7.9,-0.6,"-7",0.3382352941176471,0.38480392156862747
"2023","Greene, Hunter","668881","Reds","CIN","R",87.3,"839","2089",12.895061728395062,0.4016275730014361,"SL","Slider",33.1,-33.9,-0.8,"-2",4.5,4.4,0.1,"3",0.40634920634920635,0.5714285714285714
"2023","Urías, Julio","628711","Dodgers","LAD","L",92.7,"833","1849",11.41358024691358,0.4505137912385073,"FF","4-Seam Fastball",14.9,-15.6,0.7,"5",3.9,-7.3,-3.5,"-47",0.6764705882352942,0.10294117647058823
"2023","Eovaldi, Nathan","543135","Rangers","TEX","R",95.1,"831","2232",13.777777777777779,0.37231182795698925,"FF","4-Seam Fastball",16.7,-15.1,-1.6,"-10",12.5,-8.2,4.2,"52",0.22303921568627452,0.9313725490196079
"2023","Mikolas, Miles","571945","Cardinals","STL","R",93.3,"831","3197",19.734567901234566,0.2599311854863935,"FF","4-Seam Fastball",16.3,-14.6,-1.7,"-11",5.6,-5.9,-0.2,"-4",0.20098039215686275,0.4387254901960784
