"","term","estimate","std.error","statistic","p.value","Response","pitch","type"
"155","(Intercept)",-2.34513134191268,0.017115067565103,-137.021448089069,0,"whiff","fastball","intercept only"
"156","(Intercept)",-2.4964142566396,0.100110118198595,-24.9366827405728,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297829709568515,"whiff","slider","zone only"
"157","zone1",-0.0470865574145711,0.217289717857557,-0.216699427284629,0.828442594360582,"whiff","slider","zone only"
"158","zone2",0.423752401945063,0.158859150039799,2.66747242345751,0.00764241606685402,"whiff","slider","zone only"
"159","zone3",0.205901744879763,0.179014880006413,1.15019346365166,0.250064197773021,"whiff","slider","zone only"
"160","zone4",-0.966026750257722,0.253581541256289,-3.80953103081499,0.00013923063218527,"whiff","slider","zone only"
"161","zone6",0.31292885518643,0.128564188289093,2.43402816406984,0.0149318332037595,"whiff","slider","zone only"
"162","zone7",0.0511728632437095,0.215047767971385,0.237960448166655,0.811911770902181,"whiff","slider","zone only"
"163","zone8",0.806318441187945,0.126271710968184,6.38558260599722,0.000000000170746141075676,"whiff","slider","zone only"
"164","zone9",1.22291538966505,0.111623683468225,10.9556982144669,0.000000000000000000000000000623953225643875,"whiff","slider","zone only"
"165","zone11",-0.184236970274866,0.197233147932031,-0.934107538243807,0.350248423846823,"whiff","slider","zone only"
"166","zone12",0.0139982681639282,0.161846506582849,0.0864910121292149,0.931076100580575,"whiff","slider","zone only"
"167","zone13",0.733642324284675,0.163580959905494,4.48488824560343,0.0000072952159659582,"whiff","slider","zone only"
"168","zone14",1.43879815674899,0.103714271497746,13.8727114019237,0.0000000000000000000000000000000000000000000927050586954746,"whiff","slider","zone only"
"169","zone16",-2.21307488305778,1.00498586143835,-2.20209553982223,0.027658560479482,"whiff","slider","zone only"
"170","zone17",-0.143245664135971,0.120592909690481,-1.18784482855279,0.234894549275968,"whiff","slider","zone only"
"171","(Intercept)",-2.21903093638836,0.054158165608208,-40.9731554137433,0,"whiff","fastball","zone only"
"172","zone1",0.315312559789691,0.0832864830517192,3.78587915152917,0.00015316610173506,"whiff","fastball","zone only"
"173","zone2",0.525236683608786,0.0733417856018932,7.16149299200084,0.000000000000798030948773897,"whiff","fastball","zone only"
"174","zone3",0.502954552850965,0.0771389770091767,6.52010918930299,0.0000000000702562292448237,"whiff","fastball","zone only"
"175","zone4",-0.620697088689265,0.103795061261886,-5.98002526462394,0.00000000223103014562788,"whiff","fastball","zone only"
"176","zone6",0.0298988887651964,0.0762494065785578,0.392119625670691,0.694969827177428,"whiff","fastball","zone only"
"177","zone7",-0.581570822079017,0.129264789759994,-4.49906601139273,0.00000682526634156773,"whiff","fastball","zone only"
"178","zone8",-0.724450646821873,0.111816560473049,-6.47892086607769,0.0000000000923809354967187,"whiff","fastball","zone only"
"179","zone9",-0.8390052205016,0.110820311395816,-7.57086142363321,0.0000000000000370757391137126,"whiff","fastball","zone only"
"180","zone11",0.20848522121495,0.0706208310927263,2.95217739566398,0.003155415955999,"whiff","fastball","zone only"
"181","zone12",0.015527297859417,0.0738312681831829,0.210307885012786,0.83342738155619,"whiff","fastball","zone only"
"182","zone13",-0.396746971448898,0.100673697818585,-3.94091982360517,0.0000811697554075047,"whiff","fastball","zone only"
"183","zone14",-0.947823703729047,0.0879521266951847,-10.7765865288729,0.00000000000000000000000000444059749175242,"whiff","fastball","zone only"
"184","zone16",-2.32916181479673,0.284024066253283,-8.20057907599865,0.000000000000000239231811593193,"whiff","fastball","zone only"
"185","zone17",-2.26585308370593,0.339553605425533,-6.67303497150719,0.0000000000250566651525556,"whiff","fastball","zone only"
