"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-26.0769192649631,4.38206481304894,-5.9508292043767,0.00000000266787375896734,"whiff","L","SI"
"pitch_speed",0.112930050668279,0.0418833409705012,2.69629996202588,0.00701144962072968,"whiff","L","SI"
"pfx_x",-0.200358798938384,0.081155399229318,-2.46882894842569,0.0135555997986925,"whiff","L","SI"
"pfx_z",-0.160789105017808,0.0675938342006368,-2.37875402274921,0.0173712633841634,"whiff","L","SI"
"pfx_total",0.256983817864021,0.105623255860846,2.43302306645978,0.0149733469802044,"whiff","L","SI"
"zone1",0.918664319197735,0.72513123812617,1.2668938681661,0.205193241557857,"whiff","L","SI"
"zone2",0.538813578650231,0.518294525439993,1.03958956192489,0.298530628431282,"whiff","L","SI"
"zone3",-0.197386854096251,0.629440572414023,-0.313590929385495,0.753831749584277,"whiff","L","SI"
"zone4",0.200945076068794,0.660852358517094,0.304069545154836,0.761074908410083,"whiff","L","SI"
"zone6",-0.90562897930485,0.562915019746704,-1.60882006614845,0.107655691869859,"whiff","L","SI"
"zone7",-0.845056905051374,0.854660712909756,-0.988763017050725,0.322779102621324,"whiff","L","SI"
"zone8",-0.233221898467462,0.538952090073503,-0.4327321533082,0.66520936802085,"whiff","L","SI"
"zone9",-0.81476290503748,0.629323071931666,-1.29466555633598,0.19543562680318,"whiff","L","SI"
"zone11",-0.366585397712879,0.95973668743017,-0.381964556022614,0.702487655110967,"whiff","L","SI"
"zone12",-0.544895839999301,0.729489956821307,-0.746954546672088,0.455090998238098,"whiff","L","SI"
"zone13",-0.969069846599295,0.911872697290557,-1.06272492802854,0.287906712737738,"whiff","L","SI"
"zone14",0.121864246074658,0.71185369441403,0.171192826603185,0.864072147775461,"whiff","L","SI"
"dist_x",-0.569343695504213,0.28566831616069,-1.99302359868273,0.046258863049257,"whiff","L","SI"
"dist_prop",1.85297014018632,0.885239520112018,2.09318506244711,0.0363326376605107,"whiff","L","SI"
"I(dist_x^2)",-0.721086067862227,0.251019392948319,-2.87263091266692,0.004070693838797,"whiff","L","SI"
"I(dist_z^2)",-0.68374830127247,0.264180775467523,-2.58818341365845,0.00964835914559635,"whiff","L","SI"
"release_spin_rate",0.00126423156688304,0.000479152965091557,2.63847175951727,0.00832806365325277,"whiff","L","SI"
"pred",142.492659877482,16.3229863437497,8.72957048892243,0.00000000000000000255641587238245,"whiff","L","SI"
"(Intercept)",-11.1333431825108,3.27862638026343,-3.39573403347539,0.000684448323837501,"barrel","L","SI"
"pfx_x",0.623576581973406,0.372998466823848,1.67179395476683,0.0945649593023497,"barrel","L","SI"
"pfx_z",0.553250983712166,0.313877945702009,1.7626309566758,0.077962752424752,"barrel","L","SI"
"pfx_total",-0.989207228857819,0.483154238308412,-2.04739429032262,0.0406193865361385,"barrel","L","SI"
"dist_x",-0.655369401005924,0.451787994218517,-1.45061269753206,0.146887737575488,"barrel","L","SI"
"dist_z",-0.660699930442117,0.470285080629322,-1.40489238901219,0.160053280147323,"barrel","L","SI"
"I(dist_x^2)",-1.01384436210199,0.420449876542032,-2.41133228636027,0.0158943600936288,"barrel","L","SI"
"I(dist_z^2)",-0.93765586397421,0.493803762220067,-1.89884309459015,0.0575851091647263,"barrel","L","SI"
"release_spin_rate",0.00196814623933504,0.00119571734843937,1.64599622302364,0.0997645366306949,"barrel","L","SI"
"pred",373.041874847563,57.2279200871359,6.51852931715087,0.0000000000710000620192906,"barrel","L","SI"
"(Intercept)",-12.6925498244099,1.99786583741128,-6.35305413743708,0.000000000211081385975163,"benefit","L","SI"
"zone1",0.788446663665548,0.344332625877761,2.28978204332415,0.0220339546029504,"benefit","L","SI"
"zone2",0.43478915712079,0.243212348112958,1.78769359571684,0.0738254555495473,"benefit","L","SI"
"zone3",0.348950011438915,0.258795960779481,1.34835957403622,0.177542759665411,"benefit","L","SI"
"zone4",1.216822316494,0.298483445637506,4.07668275838578,0.0000456827521990421,"benefit","L","SI"
"zone6",0.266348494858616,0.227251556334068,1.17204255563854,0.241179971097594,"benefit","L","SI"
"zone7",1.5478045006484,0.310853342122985,4.9792113865581,0.000000638438816950755,"benefit","L","SI"
"zone8",0.891919576979765,0.232033422236657,3.84392717386236,0.000121080950856922,"benefit","L","SI"
"zone9",0.704866611972003,0.244032334884353,2.88841481726608,0.00387188884539672,"benefit","L","SI"
"zone11",-0.534764535799353,0.4147449032096,-1.28938181436578,0.197265380521005,"benefit","L","SI"
"zone12",0.108598703748821,0.276070521077638,0.393373053105806,0.694043969270578,"benefit","L","SI"
"zone13",-0.0878501422740106,0.339087724078671,-0.259077920065395,0.7955751205534,"benefit","L","SI"
"zone14",0.0298783706368184,0.262759783605015,0.113709831188368,0.909467818913141,"benefit","L","SI"
"dist_x",-0.602782944935501,0.145818634684509,-4.13378541254123,0.000035683666915547,"benefit","L","SI"
"I(dist_x^2)",-0.685406997422801,0.067524935525255,-10.150428017313,0.00000000000000000000000329913294066212,"benefit","L","SI"
"I(dist_z^2)",-1.10176705207399,0.0876734335768049,-12.566714991364,0.0000000000000000000000000000000000032182010563604,"benefit","L","SI"
"pred",25.59700657251,3.67183141445557,6.97118241097279,0.00000000000314288141959098,"benefit","L","SI"
