"x","z","phand","response","bhand","pitch","pred","zone","N"
-2,-2,"right","whiff","left","cutter",-1.12592683955824,14,1858
-2,-2,"right","whiff","left","fastball",-8.60845413583623,14,1975
-2,-2,"right","whiff","left","sinker",-4.37758474482866,14,1118
-2,-2,"right","whiff","left","slider",1.41711670325605,14,3081
-2,-2,"right","whiff","left","splitter",-1.57804973364074,14,610
-2,-2,"right","whiff","right","changeup",-2.27902757047113,14,1476
-2,-2,"right","whiff","right","curveball",0.0320421745946984,14,3107
-2,-2,"right","whiff","right","cutter",1.15850210887987,14,3843
-2,-2,"right","whiff","right","fastball",-7.32192778852475,14,4170
-2,-2,"right","whiff","right","sinker",-2.16578942076303,14,2446
-2,-2,"right","whiff","right","slider",1.04775116306659,14,10632
-2,-2,"right","whiff","right","splitter",-0.15433148987972,14,604
-2,-1.9,"right","barrel","left","changeup",-11.8455284307184,14,2301
-2,-1.9,"right","barrel","left","curveball",-10.851380217786,14,3197
-2,-1.9,"right","barrel","left","cutter",-7.15969764113113,14,1858
-2,-1.9,"right","barrel","left","fastball",-7.33646001408678,14,1975
-2,-1.9,"right","barrel","left","sinker",-14.1950234264484,14,1118
-2,-1.9,"right","barrel","left","slider",-9.20695872200763,14,3081
-2,-1.9,"right","barrel","left","splitter",-14.3035627247935,14,610
-2,-1.9,"right","barrel","right","changeup",-13.0499129065271,14,1476
-2,-1.9,"right","barrel","right","curveball",-17.0654811638323,14,3107
-2,-1.9,"right","barrel","right","cutter",-12.41906160295,14,3843
-2,-1.9,"right","barrel","right","fastball",-8.57890319946635,14,4170
-2,-1.9,"right","barrel","right","sinker",-9.41433774738083,14,2446
-2,-1.9,"right","barrel","right","slider",-13.039092699157,14,10632
-2,-1.9,"right","barrel","right","splitter",-16.5174606883048,14,604
-2,-1.9,"right","benefit","left","changeup",-6.37286275237172,14,2301
-2,-1.9,"right","benefit","left","curveball",-4.35972961188891,14,3197
-2,-1.9,"right","benefit","left","cutter",-5.0165961464041,14,1858
-2,-1.9,"right","benefit","left","fastball",-8.15963712837012,14,1975
-2,-1.9,"right","benefit","left","sinker",-7.84268170428858,14,1118
-2,-1.9,"right","benefit","left","slider",-2.55296342477708,14,3081
-2,-1.9,"right","benefit","left","splitter",-5.69579705709416,14,610
-2,-1.9,"right","benefit","right","changeup",-4.743110064462,14,1476
-2,-1.9,"right","benefit","right","curveball",-3.61218283293518,14,3107
-2,-1.9,"right","benefit","right","cutter",-4.25786882028971,14,3843
-2,-1.9,"right","benefit","right","fastball",-8.03326350647833,14,4170
-2,-1.9,"right","benefit","right","sinker",-7.46879461201203,14,2446
