"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"134","dist_z",0.236438706164624,0.0463609357598484,5.09995543207725,0.000000339733467078812,"strike","left","fastball"
"135","dist_prop",3.70237909151941,0.181867381169588,20.3575763158266,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000397779947376788,"strike","left","fastball"
"136","I(dist_x^2)",-2.05235651459554,0.0759961388654772,-27.0060630083914,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125442345091756,"strike","left","fastball"
"137","I(dist_z^2)",-1.89740353782424,0.0766210186497382,-24.7634861981925,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221904629405602,"strike","left","fastball"
"138","release_spin_rate",0.000451780501448664,0.000086441545152721,5.2264278785216,0.000000172816183132914,"strike","left","fastball"
"139","pred_bstrike",7.31884351418951,0.411080949303998,17.8038985425646,0.0000000000000000000000000000000000000000000000000000000000000000000000659163129097285,"strike","left","fastball"
"140","(Intercept)",-6.66110784313851,0.297547819075708,-22.38668011021,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000530674762288798,"whiff","right","slider"
"141","pfx_x",0.380591930193572,0.125961758547125,3.02148790699189,0.00251535687525668,"whiff","right","slider"
"142","pfx_z",0.375170849063748,0.0822552507490775,4.56105653617445,0.00000508968735809849,"whiff","right","slider"
"143","pfx_total",-0.528728547553144,0.136080123975611,-3.88542082492448,0.000102152781932773,"whiff","right","slider"
"144","zone1",0.361896849052201,0.286289464979168,1.2640941890004,0.206196222093385,"whiff","right","slider"
"145","zone2",0.595794778516342,0.197431802088359,3.01772446087332,0.00254680354297664,"whiff","right","slider"
"146","zone3",-0.196330118845851,0.228830786938315,-0.857970736685772,0.390908622373388,"whiff","right","slider"
"147","zone4",-0.965502656703184,0.282637967887277,-3.41604018709988,0.000635388693494219,"whiff","right","slider"
"148","zone6",-0.505231787790011,0.159484029831248,-3.16791460765446,0.00153536610397681,"whiff","right","slider"
"149","zone7",-0.541505207844432,0.261564891049706,-2.07025188155519,0.0384287630870363,"whiff","right","slider"
