"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone14",0.0799621397813024,0.220387280652806,0.362825565724336,0.716735192713028,"whiff","R","SL"
"dist_x",0.563815989840055,0.0974305502195749,5.78685010573591,0.00000000717185212145167,"whiff","R","SL"
"dist_z",-0.521204597355336,0.0933756696189968,-5.5818030487173,0.0000000238037845767037,"whiff","R","SL"
"dist_prop",1.51769997315974,0.293510724085081,5.17085015510303,0.000000233031376646938,"whiff","R","SL"
"I(dist_x^2)",-0.720500160374877,0.085291932827978,-8.44745964226214,0.0000000000000000297709726638195,"whiff","R","SL"
"I(dist_z^2)",-0.577356251286005,0.0938977197176983,-6.14877819207768,0.000000000780820810647495,"whiff","R","SL"
"release_spin_rate",0.000455143974282886,0.0000951370570741783,4.78408717150048,0.00000171766132733656,"whiff","R","SL"
"pred",19.6740738926092,1.02673364333299,19.1618089271363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000771449644996998,"whiff","R","SL"
"(Intercept)",-1.44467901017864,2.15475323024742,-0.670461466259298,0.502563662802925,"Barrel","R","SL"
"pitch_speed",-0.0484131839034556,0.0247624602825451,-1.95510394973078,0.0505708021758173,"Barrel","R","SL"
"pfx_x",-0.377613111184584,0.201037170158409,-1.87832484354531,0.0603367399577538,"Barrel","R","SL"
"pfx_z",-0.339224538199886,0.224407601423374,-1.51164459692208,0.130624299940912,"Barrel","R","SL"
"dist_x",-0.422737096783251,0.121382415935323,-3.48268811034789,0.000496406328908608,"Barrel","R","SL"
"dist_prop",1.03911886601453,0.690902529762359,1.50400211499001,0.132580822163467,"Barrel","R","SL"
"I(dist_x^2)",-1.79503525228781,0.44549968760305,-4.02926265099254,0.000055952076204415,"Barrel","R","SL"
"I(dist_z^2)",-2.18279943602426,0.470761690347658,-4.63673973643067,0.00000353947622774831,"Barrel","R","SL"
"pred",160.298149666885,10.8356578488167,14.793578009146,0.000000000000000000000000000000000000000000000000161154217972349,"Barrel","R","SL"
"(Intercept)",-4.69510687999537,0.632620563658062,-7.42167920190012,0.000000000000115644645801024,"STRIKE","R","SL"
"pitch_speed",-0.0210599297904792,0.00684051533212484,-3.07870515128828,0.00207902331529966,"STRIKE","R","SL"
"pfx_x",0.210564970325004,0.103234033202598,2.03968559391424,0.0413816506775893,"STRIKE","R","SL"
"pfx_z",0.227835692663499,0.0695177630207456,3.27737376410556,0.00104777570413322,"STRIKE","R","SL"
"pfx_total",-0.451714443202622,0.109418995416343,-4.12830004044393,0.000036545504877072,"STRIKE","R","SL"
"zone1",0.753049188536327,0.169936909423703,4.43134567463948,0.0000093646824187362,"STRIKE","R","SL"
"zone2",0.40384795981056,0.124646317481198,3.23995099070198,0.00119550245627769,"STRIKE","R","SL"
"zone3",0.138537535388435,0.148281539131248,0.934287141879558,0.35015579517623,"STRIKE","R","SL"
"zone4",0.166396357962423,0.133648278727061,1.24503180697329,0.213120058737366,"STRIKE","R","SL"
"zone6",-0.340335848706296,0.108458413848871,-3.13793864974394,0.00170140484333551,"STRIKE","R","SL"
"zone7",0.0709594994900539,0.162119498971562,0.437698734206557,0.661604687202033,"STRIKE","R","SL"
"zone8",-0.213785113646832,0.108722809305637,-1.96633176618762,0.0492602996906428,"STRIKE","R","SL"
"zone9",-0.265763250362567,0.128524003075377,-2.06781024558269,0.0386578698859101,"STRIKE","R","SL"
"zone11",-0.930476951904592,0.232437913944325,-4.00312038649369,0.0000625124716516262,"STRIKE","R","SL"
"zone12",-0.830176028723585,0.169842400699479,-4.88791977329917,0.00000101907039729328,"STRIKE","R","SL"
"zone13",-0.983562948372928,0.185698188225604,-5.29656728356446,0.000000117999871596556,"STRIKE","R","SL"
"zone14",-0.581701719327476,0.150606661333435,-3.86239037621065,0.000112282954505836,"STRIKE","R","SL"
"dist_x",0.231133203480327,0.0667511060688867,3.4626123384652,0.000534958543861308,"STRIKE","R","SL"
"dist_z",-0.235272178029058,0.0605308910402426,-3.88681174167158,0.000101569463334132,"STRIKE","R","SL"
"dist_prop",1.60214047408515,0.198546743715433,8.06933643989355,0.000000000000000706812498517708,"STRIKE","R","SL"
"I(dist_x^2)",-0.773193101970195,0.0641302120470379,-12.0566122782048,0.00000000000000000000000000000000178995192154402,"STRIKE","R","SL"
"I(dist_z^2)",-0.666186744291481,0.0680459433969936,-9.79024922036593,0.0000000000000000000001239898937895,"STRIKE","R","SL"
"release_spin_rate",0.000376081578974146,0.0000795901417009028,4.72522816189282,0.00000229857129564431,"STRIKE","R","SL"
"pred",13.2223640088939,0.826271733864994,16.0024401985102,0.00000000000000000000000000000000000000000000000000000000122863515333301,"STRIKE","R","SL"
"(Intercept)",-15.5491656595457,1.38042406197548,-11.2640500030793,0.0000000000000000000000000000197470083248292,"whiff","L","SL"
"pitch_speed",0.0423406496120534,0.0136073777423731,3.11159507832324,0.00186079541694093,"whiff","L","SL"
"pfx_total",-0.197002704055678,0.11660123324043,-1.6895421993476,0.0911155720170911,"whiff","L","SL"
"zone1",0.348399262679047,0.350437798334461,0.994182888760565,0.320133837053992,"whiff","L","SL"
