"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"pitch_speed",-0.0400132423043277,0.0108009955893483,-3.704588338485,0.000211734311169911,"benefit","R","FC"
"pfx_x",0.0497565240892759,0.0128575563577568,3.86982741547608,0.000108912424878288,"benefit","R","FC"
"pfx_z",0.089716709791648,0.0223099940540696,4.02136861059731,0.0000578609788226392,"benefit","R","FC"
"pfx_total",-0.0729327185755291,0.0244950505236509,-2.97744715836,0.00290659743695181,"benefit","R","FC"
"zone1",1.56108773110334,0.302057721785617,5.1681768698875,0.000000236388552232742,"benefit","R","FC"
"zone2",0.876697913790761,0.20298858385796,4.31895182048378,0.0000156771998587804,"benefit","R","FC"
"zone3",0.818683277758983,0.231484740014435,3.53666197481498,0.000405217936720148,"benefit","R","FC"
"zone4",1.25144454119733,0.266370615413039,4.69813285995087,0.0000026255062821278,"benefit","R","FC"
"zone6",0.598797964219497,0.17896725434629,3.3458521024235,0.000820301368155727,"benefit","R","FC"
"zone7",0.952717365356988,0.302817263694039,3.1461791634165,0.00165418639716643,"benefit","R","FC"
"zone8",0.74495110219913,0.189679970471242,3.92741047116555,0.0000858653677586821,"benefit","R","FC"
"zone9",0.877488777848453,0.215895878386993,4.06440727078429,0.0000481546784767698,"benefit","R","FC"
"zone11",0.142801099480965,0.327781259748231,0.435659743301527,0.663083617654771,"benefit","R","FC"
"zone12",-0.0220228803829279,0.25452763933041,-0.0865245143547623,0.931049469506783,"benefit","R","FC"
"zone13",-0.0223485317215738,0.320052709138583,-0.0698276598930362,0.944330831495195,"benefit","R","FC"
"zone14",0.0751007577540771,0.249652012085227,0.300821760364739,0.763550414169825,"benefit","R","FC"
"dist_x",-0.35116517112329,0.105142188180899,-3.33990738826078,0.00083806332406206,"benefit","R","FC"
"dist_z",-0.139915481370245,0.0754454120010211,-1.85452604286065,0.063663937846931,"benefit","R","FC"
"dist_prop",-0.482530980439849,0.315277366391475,-1.53049673677082,0.125893820587716,"benefit","R","FC"
"I(dist_x^2)",-0.455430117381089,0.0888698472701279,-5.12468662173761,0.000000298033025155125,"benefit","R","FC"
"I(dist_z^2)",-0.574292831478499,0.0939359215205416,-6.11366580731221,0.000000000973681033186635,"benefit","R","FC"
"release_spin_rate",0.000288535857360135,0.00015239228413892,1.89337576367782,0.0583079161495002,"benefit","R","FC"
"pred",22.5155377179604,2.02149540709906,11.1380602888786,0.0000000000000000000000000000818833210316329,"benefit","R","FC"
"(Intercept)",-12.4783541647328,1.29555582789002,-9.63166070971666,0.000000000000000000000587718362122467,"whiff","L","FC"
"pitch_speed",0.0397912597110627,0.0136779084643079,2.90916259711028,0.00362398326176012,"whiff","L","FC"
"pfx_x",0.0299331281865182,0.0125609400413138,2.38303248706435,0.01717067894884,"whiff","L","FC"
"pfx_z",-0.0798990297026578,0.0121437561202724,-6.57943299514036,0.0000000000472245663432736,"whiff","L","FC"
"zone1",0.842202945426246,0.300453812416498,2.80310287512265,0.00506135219117026,"whiff","L","FC"
"zone2",0.441421904771302,0.230489163882871,1.91515252749852,0.0554730546233538,"whiff","L","FC"
"zone3",-0.417856087250786,0.292862612727546,-1.42679901459297,0.153637835315567,"whiff","L","FC"
"zone4",0.228298430459744,0.276643455038978,0.825244285745266,0.409232915565183,"whiff","L","FC"
"zone6",-1.01230895831854,0.273214569526354,-3.70517926651379,0.000211241278052148,"whiff","L","FC"
"zone7",-0.517291252509553,0.367523803517827,-1.40750407880577,0.159277968627285,"whiff","L","FC"
"zone8",-0.233469092931414,0.264183187228608,-0.883739405904676,0.376836902968153,"whiff","L","FC"
"zone9",0.0514886235678425,0.289025432647196,0.178145650008223,0.858608591853264,"whiff","L","FC"
"zone11",0.334354025067996,0.348982330165498,0.958082963425213,0.338020925506522,"whiff","L","FC"
"zone12",-0.280319931184981,0.333679559329525,-0.840087213457841,0.400859488805834,"whiff","L","FC"
"zone13",-0.0769815441425676,0.392428215980141,-0.196167199522838,0.844479300231638,"whiff","L","FC"
"zone14",0.701873509636459,0.329477140300393,2.13026466417835,0.0331497690992237,"whiff","L","FC"
"dist_x",-0.340189245826702,0.104784625575024,-3.24655686805056,0.00116810108747703,"whiff","L","FC"
"dist_prop",1.33097048583501,0.422061325137883,3.15350022985451,0.00161325101419073,"whiff","L","FC"
"I(dist_x^2)",-0.76716448943723,0.12625700029387,-6.07621349827428,0.0000000012305355394886,"whiff","L","FC"
"I(dist_z^2)",-0.625550099458771,0.123386065109031,-5.06986018968998,0.000000398108040076008,"whiff","L","FC"
"pred",62.869249292175,4.16950965287374,15.0783316327962,0.00000000000000000000000000000000000000000000000000224879881521613,"whiff","L","FC"
"(Intercept)",4.83237478307147,2.7445928777595,1.76068910701841,0.0782910374378376,"barrel","L","FC"
"pitch_speed",-0.11161113389857,0.0331389077830805,-3.36797865002523,0.000757214596567912,"barrel","L","FC"
"pfx_x",-0.0967871374193129,0.0255330845657273,-3.79065589079781,0.00015024999514877,"barrel","L","FC"
"dist_x",-0.99618434272213,0.200619000090426,-4.96555332382832,0.000000685054660751149,"barrel","L","FC"
"dist_z",-0.459729675988848,0.154176038217608,-2.98184906878963,0.00286513211418778,"barrel","L","FC"
