"","x","z","phand","response","bhand","pitch","pred"
"236",-2,-2,"right","benefit","right","sinker",-7.98211940286931
"237",-2,-2,"right","benefit","right","slider",-2.98213903513984
"238",-2,-2,"right","benefit","right","splitter",-4.18854781971783
"239",-2,-2,"right","whiff","left","changeup",-1.43432791072585
"240",-2,-2,"right","whiff","left","curveball",-0.286455829615659
"241",-2,-2,"right","whiff","left","cutter",-1.12592683955824
"242",-2,-2,"right","whiff","left","fastball",-8.60845413583623
"243",-2,-2,"right","whiff","left","sinker",-4.37758474482866
"244",-2,-2,"right","whiff","left","slider",1.41711670325605
"245",-2,-2,"right","whiff","left","splitter",-1.57804973364074
"246",-2,-2,"right","whiff","right","changeup",-2.27902757047113
"247",-2,-2,"right","whiff","right","curveball",0.0320421745946984
"248",-2,-2,"right","whiff","right","cutter",1.15850210887987
"249",-2,-2,"right","whiff","right","fastball",-7.32192778852475
"250",-2,-2,"right","whiff","right","sinker",-2.16578942076303
"251",-2,-2,"right","whiff","right","slider",1.04775116306659
"252",-2,-2,"right","whiff","right","splitter",-0.15433148987972
"253",-2,-1.9,"right","barrel","left","changeup",-11.8455284307184
"254",-2,-1.9,"right","barrel","left","curveball",-10.851380217786
"255",-2,-1.9,"right","barrel","left","cutter",-7.15969764113113
"256",-2,-1.9,"right","barrel","left","fastball",-7.33646001408678
"257",-2,-1.9,"right","barrel","left","sinker",-14.1950234264484
"258",-2,-1.9,"right","barrel","left","slider",-9.20695872200763
"259",-2,-1.9,"right","barrel","left","splitter",-14.3035627247935
"260",-2,-1.9,"right","barrel","right","changeup",-13.0499129065271
"261",-2,-1.9,"right","barrel","right","curveball",-17.0654811638323
"262",-2,-1.9,"right","barrel","right","cutter",-12.41906160295
"263",-2,-1.9,"right","barrel","right","fastball",-8.57890319946635
"264",-2,-1.9,"right","barrel","right","sinker",-9.41433774738083
"265",-2,-1.9,"right","barrel","right","slider",-13.039092699157
"266",-2,-1.9,"right","barrel","right","splitter",-16.5174606883048
"267",-2,-1.9,"right","benefit","left","changeup",-6.37286275237172
"268",-2,-1.9,"right","benefit","left","curveball",-4.35972961188891
"269",-2,-1.9,"right","benefit","left","cutter",-5.0165961464041
"270",-2,-1.9,"right","benefit","left","fastball",-8.15963712837012
"271",-2,-1.9,"right","benefit","left","sinker",-7.84268170428858
"272",-2,-1.9,"right","benefit","left","slider",-2.55296342477708
"273",-2,-1.9,"right","benefit","left","splitter",-5.69579705709416
"274",-2,-1.9,"right","benefit","right","changeup",-4.743110064462
"275",-2,-1.9,"right","benefit","right","curveball",-3.61218283293518
"276",-2,-1.9,"right","benefit","right","cutter",-4.25786882028971
"277",-2,-1.9,"right","benefit","right","fastball",-8.03326350647833
"278",-2,-1.9,"right","benefit","right","sinker",-7.46879461201203
"279",-2,-1.9,"right","benefit","right","slider",-2.8484649212877
"280",-2,-1.9,"right","benefit","right","splitter",-4.02464279364577
"281",-2,-1.9,"right","whiff","left","changeup",-1.21132553728865
"282",-2,-1.9,"right","whiff","left","curveball",-0.134796665044433
"283",-2,-1.9,"right","whiff","left","cutter",-0.974869737127071
"284",-2,-1.9,"right","whiff","left","fastball",-8.13688729921855
"285",-2,-1.9,"right","whiff","left","sinker",-4.16066844168725
"286",-2,-1.9,"right","whiff","left","slider",1.61666845335594
"287",-2,-1.9,"right","whiff","left","splitter",-1.27654792466735
"288",-2,-1.9,"right","whiff","right","changeup",-1.97120639326319
"289",-2,-1.9,"right","whiff","right","curveball",0.145225073138487
"290",-2,-1.9,"right","whiff","right","cutter",1.34749710736916
"291",-2,-1.9,"right","whiff","right","fastball",-6.8622081198944
"292",-2,-1.9,"right","whiff","right","sinker",-2.06085342699061
"293",-2,-1.9,"right","whiff","right","slider",1.20426150700225
"294",-2,-1.9,"right","whiff","right","splitter",0.127693108443131
"295",-2,-1.8,"right","barrel","left","changeup",-11.2902966151494
"296",-2,-1.8,"right","barrel","left","curveball",-10.3069618403963
"297",-2,-1.8,"right","barrel","left","cutter",-6.70216708525558
"298",-2,-1.8,"right","barrel","left","fastball",-6.92333031104288
"299",-2,-1.8,"right","barrel","left","sinker",-13.5243625558148
"300",-2,-1.8,"right","barrel","left","slider",-8.61176630252994
"301",-2,-1.8,"right","barrel","left","splitter",-14.0174460438938
"302",-2,-1.8,"right","barrel","right","changeup",-12.5829185281672
"303",-2,-1.8,"right","barrel","right","curveball",-16.1170033661292
"304",-2,-1.8,"right","barrel","right","cutter",-11.8163371532697
"305",-2,-1.8,"right","barrel","right","fastball",-8.15470676673256
"306",-2,-1.8,"right","barrel","right","sinker",-8.9488189702838
"307",-2,-1.8,"right","barrel","right","slider",-12.3023516569609
"308",-2,-1.8,"right","barrel","right","splitter",-15.7297174006512
"309",-2,-1.8,"right","benefit","left","changeup",-6.11690810830437
"310",-2,-1.8,"right","benefit","left","curveball",-4.27495653680339
"311",-2,-1.8,"right","benefit","left","cutter",-4.72512555679333
"312",-2,-1.8,"right","benefit","left","fastball",-7.62060545148867
"313",-2,-1.8,"right","benefit","left","sinker",-7.36381637165399
"314",-2,-1.8,"right","benefit","left","slider",-2.44711096518723
"315",-2,-1.8,"right","benefit","left","splitter",-5.47984931439296
"316",-2,-1.8,"right","benefit","right","changeup",-4.47100868934346
"317",-2,-1.8,"right","benefit","right","curveball",-3.53298533535419
"318",-2,-1.8,"right","benefit","right","cutter",-4.02660911518239
"319",-2,-1.8,"right","benefit","right","fastball",-7.47937790524446
"320",-2,-1.8,"right","benefit","right","sinker",-6.98410668177359
"321",-2,-1.8,"right","benefit","right","slider",-2.72264131421876
"322",-2,-1.8,"right","benefit","right","splitter",-3.87051465799065
"323",-2,-1.8,"right","whiff","left","changeup",-1.00950296953001
"324",-2,-1.8,"right","whiff","left","curveball",0.000242498495514276
"325",-2,-1.8,"right","whiff","left","cutter",-0.83378648150688
"326",-2,-1.8,"right","whiff","left","fastball",-7.68591918778099
"327",-2,-1.8,"right","whiff","left","sinker",-3.95616624079149
"328",-2,-1.8,"right","whiff","left","slider",1.79855856069479
"329",-2,-1.8,"right","whiff","left","splitter",-1.00578147265548
"330",-2,-1.8,"right","whiff","right","changeup",-1.69087522542702
"331",-2,-1.8,"right","whiff","right","curveball",0.247723374992365
"332",-2,-1.8,"right","whiff","right","cutter",1.521546796668
"333",-2,-1.8,"right","whiff","right","fastball",-6.42196399114895
"334",-2,-1.8,"right","whiff","right","sinker",-1.96268980656198
"335",-2,-1.8,"right","whiff","right","slider",1.34553895881802
"336",-2,-1.8,"right","whiff","right","splitter",0.383313555507714
"337",-2,-1.7,"right","barrel","left","changeup",-10.7650773301517
"338",-2,-1.7,"right","barrel","left","curveball",-9.79786837901304
"339",-2,-1.7,"right","barrel","left","cutter",-6.27185293605433
"340",-2,-1.7,"right","barrel","left","fastball",-6.53253194329866
"341",-2,-1.7,"right","barrel","left","sinker",-12.8924993806732
"342",-2,-1.7,"right","barrel","left","slider",-8.05371296136017
"343",-2,-1.7,"right","barrel","left","splitter",-13.7399854886622
"344",-2,-1.7,"right","barrel","right","changeup",-12.1411670891781
"345",-2,-1.7,"right","barrel","right","curveball",-15.224967349959
"346",-2,-1.7,"right","barrel","right","cutter",-11.2461924035721
"347",-2,-1.7,"right","barrel","right","fastball",-7.75159645014481
"348",-2,-1.7,"right","barrel","right","sinker",-8.50846337032715
"349",-2,-1.7,"right","barrel","right","slider",-11.6071196087463
"350",-2,-1.7,"right","barrel","right","splitter",-14.990253849837
"351",-2,-1.7,"right","benefit","left","changeup",-5.87711844602377
"352",-2,-1.7,"right","benefit","left","curveball",-4.19414138850619
"353",-2,-1.7,"right","benefit","left","cutter",-4.44941013418855
