"Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop","Good Outcome Prop"
"Drew Smyly","SI","L","L",126,92.6865079365079,2163.46825396825,0.654920634920635,1.4584126984127,0.103174603174603,0.785714285714286,0,0.547619047619048
"Drew Smyly","SI","L","R",511,92.5561643835617,2156.20392156863,0.671232876712329,1.42133072407045,0.103718199608611,0.694716242661448,0.0176125244618395,0.528375733855186
"Dylan Bundy","CH","R","L",325,81.0729230769231,1358.84615384615,-1.01655384615385,0.5164,0.116923076923077,0.704615384615385,0.0153846153846154,0.544615384615385
"Dylan Bundy","CU","R","L",166,72.1704819277108,2154.44578313253,0.661686746987952,-0.899156626506024,0.0240963855421687,0.626506024096386,0.0120481927710843,0.566265060240964
"Dylan Bundy","FF","R","L",437,88.8828375286041,2348.37299771167,-0.400205949656751,1.62414187643021,0.068649885583524,0.704805491990847,0.011441647597254,0.551487414187643
"Dylan Bundy","FF","R","R",428,89.1207943925234,2356.54906542056,-0.355163551401869,1.59707943925234,0.0841121495327103,0.735981308411215,0.0233644859813084,0.598130841121495
"Dylan Bundy","SI","R","R",141,89.768085106383,2185.23404255319,-1.01397163120567,1.41737588652482,0.049645390070922,0.723404255319149,0.0354609929078014,0.560283687943262
"Dylan Bundy","SL","R","R",502,79.1340637450199,2405.18326693227,0.437171314741036,-0.0555179282868526,0.155378486055777,0.671314741035857,0.0219123505976096,0.5199203187251
"Dylan Cease","FF","R","L",672,96.6857142857143,2505.89583333333,-0.270520833333333,1.57297619047619,0.0892857142857143,0.601190476190476,0.00744047619047619,0.470238095238095
"Dylan Cease","FF","R","R",569,96.9168717047452,2508.86643233743,-0.228137082601055,1.58311072056239,0.115992970123023,0.639718804920914,0.0140597539543058,0.521968365553603
"Dylan Cease","KC","R","L",276,80.9605072463768,2691.8731884058,0.317536231884058,-1.42235507246377,0.0760869565217391,0.561594202898551,0.0036231884057971,0.456521739130435
"Dylan Cease","KC","R","R",159,81.4245283018868,2706.96226415094,0.262389937106918,-1.43849056603774,0.0880503144654088,0.540880503144654,0.00628930817610063,0.427672955974843
"Dylan Cease","SL","R","L",506,87.2106719367589,2811.63241106719,0.315118577075099,0.090395256916996,0.1699604743083,0.658102766798419,0.0138339920948617,0.545454545454545
"Dylan Cease","SL","R","R",832,87.5211538461539,2846.36177884615,0.343125,0.0282211538461539,0.205528846153846,0.647836538461539,0.00480769230769231,0.572115384615385
"Eric Lauer","CU","L","R",360,78.2077777777778,2403.37222222222,-0.540166666666667,-0.676111111111111,0.0333333333333333,0.644444444444444,0.0194444444444444,0.569444444444444
"Eric Lauer","FC","L","R",451,89.7583148558758,2267.15280898876,0.0493791574279379,0.905543237250554,0.0731707317073171,0.660753880266075,0.0199556541019956,0.536585365853659
"Eric Lauer","FF","L","L",211,93.378672985782,2292.36842105263,0.832701421800948,1.42113744075829,0.0616113744075829,0.663507109004739,0.014218009478673,0.52132701421801
"Eric Lauer","FF","L","R",964,93.2892116182573,2289.15296566077,0.809782157676349,1.40904564315353,0.130705394190871,0.635892116182573,0.0114107883817427,0.495850622406639
"Eric Lauer","SL","L","L",107,86.8476635514019,2282.7641509434,-0.228785046728972,0.340560747663551,0.102803738317757,0.616822429906542,0.00934579439252336,0.476635514018692
"Eric Lauer","SL","L","R",363,86.635261707989,2285.40720221607,-0.267162534435262,0.336528925619835,0.12396694214876,0.707988980716253,0.0165289256198347,0.504132231404959
"Erick Fedde","CU","R","L",267,77.4857677902622,2367.24344569288,1.25224719101124,-0.274868913857678,0.048689138576779,0.573033707865169,0.00374531835205993,0.434456928838951
"Erick Fedde","CU","R","R",431,78.999535962877,2400.86774941995,1.20777262180974,-0.109327146171694,0.127610208816705,0.65661252900232,0.0162412993039443,0.501160092807425
