"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"328","Hunter","Strickland",519326,"R","CIN","FF","4-Seamer",551,50.1,95,2351,5.1,16.9,-1.1,-6,146,0.241,0.414,0.362,22.5,16.4,15.1,0.296,0.536,0.419,45.7
"329","Diego","Castillo",650895,"R","SEA","SL","Slider",531,63,88.4,2260,0.2,28.8,1.3,7,146,0.173,0.263,0.246,32.6,32.2,26,0.184,0.298,0.251,22.1
"330","Trevor","Rogers",669432,"L","MIA","CH","Changeup",566,29.2,85.7,1372,14.6,35.6,-0.3,-2,146,0.246,0.408,0.336,26,15.1,12.9,0.244,0.343,0.301,30
"331","José","Quintana",500779,"L","STL","CU","Curveball",598,22,78.3,2263,7.1,52.7,1.1,7,146,0.207,0.274,0.266,27.4,25.3,22.2,0.237,0.371,0.295,41.8
"332","Austin","Gomber",596295,"L","COL","SL","Slider",507,24.6,84.3,2391,5,34.7,0.8,4,145,0.217,0.391,0.282,29.9,24.1,17.7,0.251,0.414,0.307,32
"333","Eric","Lauer",641778,"L","MIL","SL","Slider",470,17.6,86.7,2285,3.1,32.3,0.5,2,145,0.172,0.299,0.241,24.8,28.3,19,0.205,0.313,0.255,30.5
"334","Tarik","Skubal",669373,"L","DET","SL","Slider",591,30.9,89.3,2119,1.1,25.9,0.7,4,145,0.228,0.368,0.273,23.7,18.6,14.8,0.231,0.368,0.276,39.8
"335","Penn","Murfee",682171,"R","SEA","ST","Sweeper",512,51,79.7,2645,16.9,40.9,1.6,8,145,0.125,0.272,0.189,32.4,40,28.9,0.127,0.24,0.182,27.5
"336","Zach","Thompson",605507,"R","PIT","SI","Sinker",439,21.1,92.2,2231,9.7,24.1,0.8,3,145,0.32,0.391,0.369,6.9,2.8,5.3,0.319,0.419,0.362,40
"337","Marco","Gonzales",594835,"L","SEA","FC","Cutter",553,19.5,86.1,2030,2.2,25.2,-1.4,-8,145,0.324,0.551,0.398,13,6.9,7.9,0.304,0.523,0.374,31.5
"338","Adrián","Martínez",661309,"R","OAK","SI","Sinker",511,50.3,93.8,2157,17.3,22.8,-2.6,-13,145,0.338,0.602,0.438,13.5,16.6,18.8,0.301,0.547,0.391,42.2
"339","Corey","Knebel",608349,"R","PHI","FF","4-Seamer",555,69.8,95.6,2369,3.8,12.5,1.3,7,144,0.192,0.342,0.301,24.9,19.4,18.7,0.212,0.358,0.316,45.2
"340","Erasmo","Ramírez",541640,"R","WSH","SI","Sinker",481,39.4,93.1,2206,15.4,24.8,-1.5,-7,144,0.32,0.461,0.394,13.2,13.2,16.8,0.303,0.422,0.354,40.5
"341","Brandon","Woodruff",605540,"R","MIL","SI","Sinker",543,21.4,95.8,2286,14,15.9,0.7,4,144,0.269,0.362,0.32,15.1,14.6,18.8,0.276,0.377,0.328,30.9
"342","Zach","Plesac",668676,"R","CLE","CH","Changeup",475,22.1,85.7,1626,11.4,24.9,-0.9,-4,144,0.272,0.419,0.339,16.5,13.2,13.1,0.307,0.485,0.362,41.9
"343","Max","Scherzer",453286,"R","NYM","SL","Slider",508,23.4,85,2303,3.2,34.7,3.6,18,143,0.183,0.232,0.195,46.4,39.2,31.3,0.154,0.201,0.16,18.6
"344","Anthony","Bass",542914,"R","TOR","SL","Slider",550,55.8,86.6,2219,4.7,37.9,1.3,7,143,0.18,0.324,0.235,43.7,38.5,28.6,0.174,0.27,0.203,30.6
"345","José","Quijada",650671,"L","LAA","FF","4-Seamer",587,84.9,94.5,2206,6,15.2,1.4,8,143,0.179,0.366,0.29,32.9,35,23.4,0.155,0.295,0.26,35.1
"346","Spenser","Watkins",657093,"R","BAL","FC","Cutter",462,28.1,87.1,2455,6,28.5,-1.5,-7,142,0.328,0.427,0.36,25.5,19,22,0.277,0.395,0.323,34.6
"347","James","Kaprielian",621076,"R","OAK","SL","Slider",512,23,85,2291,4.5,34.3,0.7,3,142,0.19,0.357,0.284,35.4,31.7,22.3,0.179,0.289,0.258,30.5
"348","Brad","Boxberger",502202,"R","MIL","FF","4-Seamer",599,55,92.7,2385,6,14.5,0.9,5,142,0.185,0.319,0.278,25.3,33.8,21.7,0.176,0.307,0.277,38.7
"349","José","Berríos",621244,"R","TOR","CH","Changeup",418,15.4,84.6,1522,14.4,33.9,-1.2,-5,142,0.271,0.398,0.317,24.3,14.8,15.7,0.256,0.396,0.306,32.5
"350","Devin","Williams",642207,"R","MIL","CH","Changeup",620,58.1,83.4,2739,19,42.7,1.2,8,142,0.185,0.242,0.255,43.9,36.6,24.8,0.167,0.206,0.224,23
"351","Camilo","Doval",666808,"R","SF","SL","Slider",489,43.6,87.7,2580,6.4,34.8,3.5,17,142,0.158,0.226,0.193,38.7,40.1,31,0.164,0.234,0.202,30.4
"352","Blake","Snell",605483,"L","SD","SL","Slider",569,24.3,88.9,2389,4.1,29.9,1.2,7,142,0.169,0.265,0.211,46.4,47.2,30.6,0.176,0.282,0.215,42.9
"353","Jordan","Montgomery",656756,"L","STL","CU","Curveball",605,22.3,80.2,2263,2.9,47.7,0.7,4,142,0.154,0.301,0.231,41.4,43,22.2,0.188,0.305,0.238,33.3
"354","Michael","Kopech",656629,"R","CWS","SL","Slider",503,25,84.4,2392,4.8,39.9,-0.6,-3,141,0.233,0.403,0.3,21.8,19.1,14.5,0.24,0.417,0.312,40.4
"355","A.J.","Minter",621345,"L","ATL","FF","4-Seamer",553,49.8,96.6,2425,6.5,12,2.1,12,141,0.152,0.272,0.226,31.3,36.9,27.1,0.161,0.318,0.256,48
"356","Lance","Lynn",458681,"R","CWS","FC","Cutter",527,26.1,88.8,2607,2.3,29.4,0.8,4,141,0.236,0.354,0.309,26.2,14.2,14.2,0.244,0.362,0.3,37.6
"357","Joe","Musgrove",605397,"R","SD","CU","Curveball",536,18.9,81.3,2723,9.6,55.5,0.1,1,141,0.198,0.372,0.308,32.4,34.8,22.5,0.198,0.29,0.276,42.5
"358","Cole","Irvin",608344,"L","OAK","CU","Curveball",541,20.7,77.5,2074,8.2,49.6,-1.9,-10,140,0.274,0.504,0.333,22.4,19.3,13.7,0.26,0.476,0.324,38.2
"359","Taylor","Hearn",621368,"L","TEX","SL","Slider",480,26.9,84.9,2125,3.2,38.7,-0.9,-4,140,0.278,0.414,0.314,24.9,25,17.6,0.273,0.437,0.321,42.4
"360","Nick","Lodolo",666157,"L","CIN","CU","Curveball",515,28.9,81.5,2733,13.8,40,0.3,1,139,0.136,0.28,0.254,46,46.8,26.4,0.106,0.206,0.219,30.2
"361","Tyler","Mahle",641816,"R","MIN","FS","Splitter",496,23.6,85.4,1895,14.3,27.6,-0.9,-5,139,0.24,0.392,0.295,24.2,15.1,13.6,0.23,0.338,0.289,22.2
"362","Jakob","Junis",596001,"R","SF","SI","Sinker",569,31.6,91.9,2192,12.9,24.1,-0.2,-1,139,0.313,0.477,0.377,15.7,12.2,17,0.296,0.453,0.349,41.6
"363","Paolo","Espino",502179,"R","WSH","CU","Curveball",485,25.9,71.3,3006,13.1,73.2,-0.1,-1,138,0.242,0.417,0.289,28.3,31.2,21.9,0.229,0.359,0.264,35.2
"364","Aaron","Loup",571901,"L","LAA","SI","Sinker",467,48.3,91.2,2130,18.9,29.5,-0.3,-1,138,0.281,0.388,0.374,9.2,15.2,20,0.278,0.413,0.349,41
"365","Aaron","Civale",650644,"R","CLE","FC","Cutter",556,35,86.4,2611,6.5,32.2,-0.6,-3,138,0.283,0.512,0.367,21.6,14.5,17.5,0.277,0.446,0.329,40.9
"366","Tyler","Rogers",643511,"R","SF","SL","Slider",537,46.1,72.1,2300,13.9,39.3,-0.6,-3,138,0.216,0.368,0.287,28.4,26.8,21.9,0.195,0.281,0.243,22.2
"367","Jake","McGee",459429,"L","WSH","FF","4-Seamer",521,82.8,94.4,2079,11.7,15.8,-0.3,-2,138,0.288,0.48,0.362,18.3,12.3,11.8,0.272,0.519,0.369,41.8
