"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"368","Suzuki, Seiya",673548,446,104,14,24.7,9.4,0.262,0.433,0.336,0.769,9,0.334,0.326,89.6,36.9,11,5.5,22.4,26.2,31,2.4,41.3
"369","Kirilloff, Alex",666135,156,36,3,23.1,3.2,0.25,0.361,0.29,0.651,0,0.286,0.278,89.3,28.2,6.4,5.5,23.6,20,41.8,2.7,45.5
"370","Margot, Manuel",622534,363,92,4,18.7,6.6,0.274,0.375,0.325,0.7,7,0.308,0.299,89.5,30.9,3.7,3.7,28.3,24.2,34.6,5.2,37.9
"371","Gregorius, Didi",544369,232,45,1,15.5,5.6,0.21,0.304,0.263,0.567,1,0.251,0.275,84.5,33.3,2.8,5,25.6,31.1,30,5,22.8
"372","Mazeika, Patrick",664850,72,13,1,12.5,2.8,0.191,0.294,0.214,0.508,0,0.222,0.218,84.5,29.5,3.3,3.3,18,34.4,32.8,8.2,18
"373","Stephenson, Tyler",663886,183,53,6,25.7,6.6,0.319,0.482,0.372,0.854,1,0.37,0.318,87.1,46.3,6.6,7.4,29.8,19,33.1,4.1,34.7
"374","Winker, Jesse",608385,547,100,14,18.8,15.4,0.219,0.344,0.344,0.688,0,0.313,0.345,87.7,32,7.6,3.1,26.1,31.5,28.1,3.4,34.3
"375","Fortes, Nick",663743,240,50,9,18.8,7.5,0.23,0.392,0.304,0.696,5,0.308,0.319,89.3,30.2,7,5.2,25,31.4,28.5,1.7,37.8
"376","Vavra, Terrin",679631,103,23,1,18.4,11.7,0.258,0.337,0.34,0.677,0,0.303,0.318,87.5,37.5,1.4,6.9,29.2,26.4,27.8,6.9,23.6
"377","Perez, Salvador",521692,473,113,23,23,3.8,0.254,0.465,0.292,0.757,0,0.324,0.323,91.4,34.8,11.2,8,22.4,31,25.1,2.4,49
"378","Plawecki, Kevin",608700,186,37,1,17.2,7.5,0.22,0.286,0.286,0.572,0,0.259,0.268,89.3,28.3,0,6.5,26.8,27.5,36.2,2.2,37.7
"379","Bolt, Skye",621450,116,21,4,25.9,6,0.198,0.33,0.259,0.589,5,0.261,0.258,89.2,29.9,5.2,3.9,19.5,29.9,37.7,2.6,35.1
"380","Crawford, J.P.",641487,603,126,6,13.3,11.3,0.243,0.336,0.339,0.675,3,0.306,0.315,85.1,32.4,2,4.7,24.3,24.3,37.3,6.5,29.7
"381","Muncy, Max",571970,565,91,21,25,15.9,0.196,0.384,0.329,0.713,2,0.318,0.339,90.3,34.3,13.4,10.3,18.8,33.4,20.1,3.6,45.6
"382","Lowe, Brandon",664040,266,52,8,22.9,10.2,0.221,0.383,0.308,0.691,1,0.306,0.32,89.4,35.4,10.3,4.6,20,30.9,29.1,5.1,38.9
"383","Narvaez, Omar",553882,296,54,4,19.3,9.8,0.206,0.305,0.292,0.597,0,0.269,0.268,84.7,36.7,2.4,4.8,24.2,35.3,27.5,5.3,18.4
"384","Wade, Tyler",642180,163,32,1,20.2,6.1,0.218,0.272,0.272,0.544,8,0.247,0.248,83.9,37,1.7,3.4,18.5,26.9,28.6,21,16
"385","Collins, Zack",641470,108,15,4,38,8.3,0.155,0.32,0.231,0.551,0,0.245,0.257,91,35.1,8.8,5.3,24.6,35.1,26.3,0,40.4
"386","Miller, Owen",680911,472,103,6,19.7,6.8,0.243,0.351,0.301,0.652,2,0.287,0.291,85.8,35,3.5,5.6,24.7,27.9,32.6,5.3,31.2
"387","Aguilar, Jesus",542583,507,109,16,23.5,5.5,0.235,0.379,0.281,0.66,1,0.288,0.298,87.7,39.7,6.9,7.7,27.1,30.3,25.1,2.6,36
"388","Kim, Ha-Seong",673490,582,130,11,17.2,8.8,0.251,0.383,0.325,0.708,12,0.313,0.309,86.7,34,4.2,6.1,24.8,28.5,29.5,6.1,32.4
"389","Contreras, William",661388,376,93,20,27.7,10.4,0.278,0.506,0.354,0.86,2,0.37,0.347,90.4,31.9,13.4,4.7,24.6,15.5,37.1,4.3,46.6
"390","Bote, David",623520,127,30,4,35.4,4.7,0.259,0.431,0.315,0.746,1,0.325,0.289,92.4,34.7,6.9,8.3,30.6,12.5,34.7,5.6,55.6
"391","Solano, Donovan",456781,304,79,4,20.1,6.3,0.284,0.385,0.339,0.724,0,0.319,0.315,88.3,36.1,5.9,6.8,31.1,19.2,31.1,4.6,41.2
"392","Arcia, Orlando",606115,234,51,9,21.8,9,0.244,0.416,0.316,0.732,0,0.321,0.329,90.7,30,7.5,8.1,25.6,24.4,28.7,5,42.5
"393","Joe, Connor",656582,467,96,7,20.8,11.8,0.238,0.359,0.338,0.697,6,0.314,0.311,85.3,35.1,4.5,3.9,26,25,34.1,5.5,33.8
"394","Simmons, Andrelton",592743,85,13,0,15.3,8.2,0.173,0.187,0.244,0.431,4,0.204,0.199,81.4,20,0,1.5,12.3,20,52.3,10.8,10.8
"395","Wong, Kolten",543939,497,108,15,17.7,9.3,0.251,0.43,0.339,0.769,17,0.336,0.305,87,33.5,5.4,6.3,21.2,26.6,34.4,5.7,35.5
"396","Ramirez, Jose",608070,685,168,29,12,10.1,0.28,0.514,0.355,0.869,20,0.363,0.32,87.7,33.7,6.6,6.4,22.3,37.3,21.8,5.3,36.9
"397","Lowe, Josh",666139,198,40,2,33.3,7.6,0.221,0.343,0.284,0.627,3,0.276,0.272,88.3,47.4,5.2,10.3,22.4,27.6,30.2,4.3,37.1
"398","Swanson, Dansby",621020,696,177,25,26.1,7,0.277,0.447,0.329,0.776,18,0.337,0.337,90.2,37,10.8,8,27.1,25.3,26.4,2.2,46.3
"399","Vierling, Matt",663837,357,80,6,19.6,6.4,0.246,0.351,0.297,0.648,7,0.285,0.324,91.2,35.2,5,7.7,29.9,24.5,31.8,1.1,47.1
"400","De La Cruz, Bryan",650559,355,83,13,25.4,5.4,0.252,0.432,0.294,0.726,4,0.313,0.355,90.8,43.6,11.9,6.2,28.4,18.1,31.3,4.1,47.3
"401","O'Neill, Tyler",641933,383,76,14,26.9,9.9,0.228,0.392,0.308,0.7,14,0.307,0.331,89.8,36.6,11.3,6.7,22.3,24.8,30.7,3.8,43.3
"402","Bell, Josh",605137,647,147,17,15.8,12.5,0.266,0.422,0.362,0.784,0,0.344,0.349,88.9,30.7,7.2,3.7,27.4,20.6,36.6,4.2,40.8
"403","Choi, Ji Man",596847,419,83,11,29.4,13.8,0.233,0.388,0.341,0.729,0,0.322,0.337,92.2,37.3,11.9,8.1,27.5,16.9,33.1,2.5,47.5
"404","Papierski, Michael",657709,103,13,1,25.2,9.7,0.143,0.187,0.228,0.415,0,0.197,0.217,77.4,28.4,0,3,20.9,22.4,34.3,19.4,9
"405","Ortega, Rafael",542364,371,76,7,19.9,11.9,0.241,0.358,0.331,0.689,12,0.305,0.307,87.2,37.6,4.8,5.2,26.8,33.2,26,3.6,33.7
"406","Nimmo, Brandon",607043,673,159,16,17.2,10.5,0.274,0.433,0.367,0.8,3,0.353,0.342,89.4,28.1,7,3.6,25.1,19.8,38.5,5.5,39.8
"407","Larnach, Trevor",663616,180,37,5,31.7,10,0.231,0.406,0.306,0.712,0,0.309,0.322,90.1,36.2,11.4,10.5,20,23.8,32.4,1.9,43.8
"408","O'Hearn, Ryan",656811,145,32,1,24.1,5.5,0.239,0.321,0.29,0.611,0,0.272,0.33,92.1,38,7,11,31,19,27,4,48
"409","Pasquantino, Vinnie",686469,298,76,10,11.4,11.7,0.295,0.45,0.383,0.833,1,0.365,0.374,91.2,34.1,8.8,7.5,26.5,24.3,30.5,1.8,46.9
"410","Adell, Jo",666176,285,60,8,37.5,3.9,0.224,0.373,0.264,0.637,4,0.278,0.251,87.4,33.3,9.9,3.1,22.8,27.8,30.9,5.6,37.7
"411","Tapia, Raimel",606132,433,109,7,18.7,3.7,0.265,0.38,0.292,0.672,8,0.293,0.29,87.6,27.5,5.1,3.3,26.9,18.9,40.7,4.8,38
"412","Gallo, Joey",608336,410,56,19,39.8,13.7,0.16,0.357,0.28,0.637,3,0.286,0.295,89.6,29.3,17.6,8,14.4,34.6,17.6,8,50.5
"413","Jung, Josh",673962,102,20,5,38.2,3.9,0.204,0.418,0.235,0.653,2,0.28,0.287,85.5,40.7,10.2,6.8,27.1,18.6,32.2,5.1,32.2
"414","Walls, Taylor",670764,466,70,8,25.8,11.2,0.172,0.285,0.268,0.553,10,0.252,0.27,86.3,32.6,6.2,4.8,20.6,33,30.6,4.5,28.5
"415","Moore, Dylan",664238,255,46,6,29.4,13.3,0.224,0.385,0.368,0.753,21,0.338,0.322,87.2,39.4,12.9,7.6,17.4,31.1,22.7,8.3,36.4
"416","Chavis, Michael",656308,426,92,14,29.6,4.5,0.229,0.389,0.265,0.654,1,0.282,0.261,85.4,33,7.5,6.1,22.9,24,29.7,9.3,38.7
"417","Romine, Austin",519222,136,20,3,33.8,2.9,0.155,0.248,0.187,0.435,0,0.193,0.195,87.2,22.4,4.7,2.4,20,22.4,42.4,7.1,33.3
"418","Bart, Joey",663698,291,56,11,38.5,8.9,0.215,0.364,0.296,0.66,2,0.294,0.296,87.3,32.2,10.1,6,30.9,20.1,22.1,10.1,43
"419","Taylor, Chris",621035,454,89,10,35.2,9.7,0.221,0.373,0.304,0.677,10,0.298,0.277,87.4,40.8,10.2,6.1,24.5,31.8,21.2,5.7,38
"420","Soto, Juan",665742,664,127,27,14.5,20.3,0.242,0.452,0.401,0.853,6,0.376,0.401,91,28.5,12.4,7.2,18.2,22.2,36,4,47.4
"421","Hernandez, Enrique",571771,402,80,6,17.7,8.5,0.222,0.338,0.291,0.629,0,0.28,0.297,87.8,33.3,5.8,3.4,25.5,33.3,27.6,3.7,35
"422","Wynns, Austin",642851,177,42,3,21.5,5.6,0.259,0.358,0.313,0.671,0,0.298,0.267,84.1,31.7,4,4,23.8,25.4,31.7,11.1,27
"423","Garlick, Kyle",664247,162,35,9,29.6,4.9,0.233,0.433,0.284,0.717,0,0.311,0.305,90.2,36.9,9.7,8.7,23.3,23.3,32,2.9,47.6
"424","McGuire, Reese",624512,274,67,3,20.4,4.4,0.269,0.369,0.307,0.676,1,0.297,0.267,87,33.2,2.5,5.9,26.2,28.2,29.7,7.4,29.7
"425","Bethancourt, Christian",542194,333,80,11,24,3.6,0.252,0.409,0.283,0.692,5,0.301,0.318,90.1,31.4,11.7,6.3,24.3,21.3,31.4,4.6,44.8
"426","Lux, Gavin",666158,471,116,6,20.2,10,0.276,0.399,0.346,0.745,7,0.328,0.314,88,34,6.1,6.1,24,20.4,39.8,3.3,39.8
"427","Luplow, Jordan",656669,234,36,11,25.6,10.7,0.176,0.361,0.274,0.635,5,0.281,0.288,87.2,24,7.5,4.8,22.6,30.8,28.8,4.8,32.9
"428","Rosario, Eddie",592696,270,53,5,25.2,6.3,0.212,0.328,0.259,0.587,3,0.258,0.25,87.7,32.4,5.4,5.9,21.1,33.5,28.1,5.4,33
"429","Alcantara, Sergio",642727,224,45,6,25.4,5.4,0.22,0.356,0.261,0.617,1,0.269,0.244,86.6,32.5,1.9,3.9,26.6,29.9,33.8,3.9,32.5
"430","Engel, Adam",641553,260,55,2,29.2,4.2,0.224,0.31,0.269,0.579,12,0.256,0.246,87.9,30.8,1.8,5.3,28.4,29.6,31.4,3,33.1
"431","Villar, David",681584,181,36,9,32,9.9,0.231,0.455,0.331,0.786,0,0.344,0.283,86.8,33.3,9.1,2,21.2,36.4,25.3,6.1,36.4
"432","Olivares, Edward",658668,174,46,4,20.7,5.7,0.286,0.41,0.333,0.743,2,0.326,0.339,89.2,34.9,6.3,5.6,28.6,16.7,38.9,3.2,38.9
"433","Haase, Eric",606992,351,82,14,27.6,6.8,0.254,0.443,0.305,0.748,0,0.322,0.302,87.7,32.3,8.7,7.9,21.4,28.4,27.5,5.2,42.4
"434","Urias, Luis",649966,472,97,16,21,10.6,0.239,0.404,0.335,0.739,1,0.327,0.326,87.3,34.3,8.3,5.4,24,31.1,25.3,5.1,35.3
"435","Dalbec, Bobby",666915,353,68,12,33.4,8.2,0.215,0.369,0.283,0.652,3,0.287,0.296,90.3,32,11.8,6.4,22.2,28.6,28.1,2.5,45.8
"436","Hall, Darick",669742,142,34,9,31,3.5,0.25,0.522,0.282,0.804,0,0.343,0.312,91.4,37,17.4,6.5,20.7,28.3,25,2.2,44.6
"437","Stubbs, Garrett",596117,121,28,5,24.8,11.6,0.264,0.462,0.35,0.812,2,0.355,0.275,85.2,33.8,5.2,5.2,22.1,23.4,27.3,16.9,27.3
"438","Gurriel Jr., Lourdes",666971,493,132,5,16.8,6.3,0.291,0.4,0.343,0.743,3,0.327,0.321,90.6,34.7,3.8,8.9,30.9,21.8,32.3,2.4,45.7
"439","Lopez, Alejo",664670,156,38,1,13.5,5.8,0.262,0.331,0.314,0.645,3,0.286,0.28,83.8,37.9,0.8,4.8,25,25,38.7,3.2,20.2
"440","Devers, Rafael",646240,614,164,27,18.6,8.1,0.295,0.521,0.358,0.879,3,0.373,0.361,93.1,33.1,11.5,7.7,23.9,22.5,32,2,50.9
"441","Vosler, Jason",613564,111,26,4,26.1,9,0.265,0.469,0.342,0.811,1,0.349,0.312,84.7,41.4,4.3,8.6,27.1,27.1,28.6,4.3,25.7
"442","Greene, Riley",682985,418,95,5,28.7,8.6,0.253,0.362,0.321,0.683,1,0.303,0.316,89.5,32,9.3,5,25.9,13.9,41.3,3.9,45.2
"443","Barrera, Luis",642456,85,18,1,20,7.1,0.234,0.338,0.294,0.632,3,0.28,0.261,87.1,32.8,3.3,9.8,18,19.7,44.3,4.9,32.8
"444","Beer, Seth",666179,126,21,1,24.6,8.7,0.189,0.243,0.278,0.521,0,0.239,0.276,85.9,33.3,3.7,9.9,23.5,19.8,34.6,6.2,29.6
"445","Meneses, Joey",608841,240,72,13,21.7,6.3,0.324,0.563,0.367,0.93,1,0.395,0.332,91.4,39,9.9,5.8,26.7,19.2,35.5,2.3,47.1
"446","Castro, Harold",605612,443,114,7,17.8,3.8,0.271,0.381,0.3,0.681,0,0.297,0.316,87,41.6,6.1,7.8,28.9,20.5,31.2,4.3,33.3
"447","Garcia, Avisail",541645,380,80,8,28.7,4.5,0.224,0.317,0.266,0.583,4,0.258,0.281,88.7,27.6,6.4,8.8,20,16,42.4,5.6,44.8
"448","Barnhart, Tucker",571466,308,62,1,24,8.1,0.221,0.267,0.287,0.554,0,0.253,0.244,84.5,30.3,1.9,2.9,22.6,27.4,38.9,5.3,26
"449","Toglia, Michael",669911,120,24,2,36.7,7.5,0.216,0.378,0.275,0.653,1,0.285,0.261,87.4,32.8,7.5,3,32.8,28.4,22.4,6,40.3
"450","Biggio, Cavan",624415,303,52,6,28.1,12.5,0.202,0.35,0.318,0.668,2,0.302,0.288,88.3,36.2,6.9,8.6,23,32.8,27,1.1,32.8
"451","Diaz, Aledmys",649557,327,74,12,16.2,5.5,0.243,0.403,0.287,0.69,1,0.301,0.308,86.6,30.3,6.3,5.9,24,24.8,30.3,8.3,36.8
"452","Martinez, J.D.",502110,596,146,16,24.3,8.7,0.274,0.448,0.341,0.789,0,0.343,0.349,89.1,42,12.5,8.9,23.2,24.2,27.5,3.6,41.7
"453","Kiner-Falefa, Isiah",643396,531,126,4,13.6,6.6,0.261,0.327,0.314,0.641,22,0.285,0.29,86.2,29.6,1.2,4.3,26.5,18.1,43.2,6.4,30.1
"454","Fraley, Jake",641584,247,56,12,21.9,10.5,0.259,0.468,0.344,0.812,4,0.352,0.333,85.1,33.5,7.3,5.5,25,25,32.3,3.7,27.6
"455","Garcia, Dermis",660650,125,24,5,44,6.4,0.207,0.388,0.264,0.652,0,0.285,0.244,86.5,27.9,13.1,1.6,16.4,24.6,32.8,11.5,42.6
"456","Carroll, Corbin",682998,115,27,4,27,7,0.26,0.5,0.33,0.83,2,0.358,0.293,85.8,34.2,5.5,8.2,19.2,20.5,41.1,5.5,32.9
"457","Smith, Dominic",642086,152,26,0,24.3,7.9,0.194,0.284,0.276,0.56,0,0.254,0.293,89.6,28.3,7.1,7.1,24.2,25.3,33.3,3,46.5
"458","Reyes, Victor",622682,336,80,3,22.9,3.9,0.254,0.362,0.289,0.651,2,0.284,0.292,87.9,35.5,5,5,31.4,21.9,30.6,6.2,36.8
"459","Eaton, Nate",681987,122,28,1,24.6,8.2,0.264,0.387,0.331,0.718,11,0.313,0.297,85.8,43.8,5,7.5,22.5,35,25,5,27.5
"460","Urshela, Gio",570482,551,143,13,17.4,7.4,0.285,0.429,0.338,0.767,1,0.332,0.323,88.9,38.6,7,6.6,26.9,24.5,31.1,2.9,37.6
"461","Happ, Ian",664023,641,155,17,23.2,9,0.271,0.44,0.342,0.782,9,0.339,0.306,89.7,29.2,6.5,6.5,24.1,23.8,35.3,2.8,40.4
"462","Schwarber, Kyle",656941,669,126,46,29.9,12.9,0.218,0.504,0.323,0.827,10,0.355,0.375,93.3,35.4,20.1,8.7,17.4,27.7,21.4,4.5,54.4
"463","Siri, Jose",642350,325,64,7,33.2,6.2,0.213,0.339,0.268,0.607,14,0.268,0.261,87.2,35.1,6.2,5.2,23.7,28.9,29.9,6.2,33
"464","Kelenic, Jarred",672284,181,23,7,33.7,8.8,0.141,0.313,0.221,0.534,5,0.238,0.271,86,27.2,13.6,5.8,13.6,34,26.2,6.8,35
"465","Yepez, Juan",660766,274,64,12,22.3,5.8,0.253,0.447,0.296,0.743,0,0.319,0.286,86.5,33.2,9.2,5.6,17.3,33.2,28.6,6.1,33.7
"466","Polanco, Jorge",593871,445,88,16,21.3,14.4,0.235,0.405,0.346,0.751,3,0.333,0.358,89,37.7,10.2,6.3,25.7,33.8,19.4,4.2,38.7
"467","Moreno, Gabriel",672515,73,22,1,11,5.5,0.319,0.377,0.356,0.733,0,0.326,0.299,89.2,29.5,3.3,0,24.6,24.6,47.5,0,32.8
"468","Daza, Yonathan",602074,408,112,2,14.2,6.4,0.301,0.384,0.349,0.733,0,0.323,0.308,84.8,34.1,1.9,2.5,32.5,16.6,40.9,5.3,25
"469","Chisholm Jr., Jazz",665862,241,54,14,27.4,8.7,0.254,0.535,0.325,0.86,12,0.365,0.345,90.4,37.3,16.7,4.7,25.3,23.3,26.7,2.7,46.7
"470","Garver, Mitch",641598,215,39,10,24.7,10.7,0.207,0.404,0.298,0.702,1,0.308,0.319,88.9,37.2,8.8,11.7,21.2,32.1,24.1,2.2,38.7
"471","Velazquez, Andrew",623205,349,63,9,34.1,4.3,0.196,0.304,0.236,0.54,17,0.239,0.246,88,33,6.6,6.6,24.1,18.9,33.5,9.9,34
"472","Baez, Javier",595879,590,132,17,24.9,4.4,0.238,0.393,0.278,0.671,9,0.291,0.285,87.9,29.7,8,4.9,20.9,21.9,40.1,2.9,38
"473","Pratto, Nick",668472,182,29,7,36.3,10.4,0.184,0.386,0.271,0.657,0,0.287,0.267,86,34.4,12.5,7.3,18.8,32.3,20.8,8.3,36.5
"474","McKenna, Ryan",663630,172,37,2,32,6.4,0.237,0.34,0.294,0.634,2,0.279,0.267,86.7,37.5,9.6,3.8,22.1,26,30.8,6.7,30.1
"475","Walton, Donovan",622268,78,12,1,20.5,1.3,0.158,0.303,0.179,0.482,0,0.208,0.228,86.1,33.3,5,3.3,16.7,30,41.7,3.3,31.7
"476","Hernandez, Teoscar",606192,535,133,25,28.4,6.4,0.267,0.491,0.316,0.807,6,0.348,0.351,92.6,36.3,15,7.5,23.3,19.9,32,2.3,53.3
"477","Gordon, Nick",624503,443,110,9,23.7,4.3,0.272,0.427,0.316,0.743,6,0.321,0.333,90.6,36.6,9.4,8.1,26.2,21,33,2.3,44.7
"478","Smith, Will",669257,578,132,24,16.6,9.7,0.26,0.465,0.343,0.808,1,0.349,0.352,89.9,36.8,10.3,7.2,23.3,33.4,22.6,3.1,43
"479","Steer, Spencer",668715,108,20,2,24.1,10.2,0.211,0.326,0.306,0.632,0,0.287,0.281,84.7,30.4,5.8,1.4,23.2,29,30.4,10.1,31.9
"480","Realmuto, J.T.",592663,562,139,22,21.2,7.3,0.276,0.478,0.342,0.82,21,0.354,0.351,90.3,35.6,11.3,6.7,26.7,22.1,30.5,2.6,47.2
"481","Calhoun, Kole",594777,424,76,12,32.1,6.4,0.196,0.33,0.257,0.587,3,0.26,0.294,90.8,40.4,9.8,8.6,26.7,26.3,26.7,2,48.2
"482","Cronenworth, Jake",630105,684,140,17,19.2,10.2,0.239,0.39,0.332,0.722,3,0.318,0.303,87.6,32.3,5.6,6.9,20,37.1,25.2,4.7,34.1
"483","Hoskins, Rhys",656555,672,145,30,25.1,10.7,0.246,0.462,0.332,0.794,2,0.345,0.338,90.1,37.3,11.1,5.9,25.5,30,24.8,2.6,44.3
"484","Escobar, Alcides",444876,131,27,0,24.4,3.8,0.218,0.282,0.26,0.542,1,0.242,0.233,81.8,39.1,1.1,1.1,27.2,34.8,27.2,8.7,17.4
"485","Jeffers, Ryan",680777,236,44,7,26.3,9.7,0.208,0.363,0.285,0.648,0,0.287,0.315,88.2,35.8,13.2,11.9,15.9,25.2,23.2,9.9,42.4
"486","Santana, Carlos",467793,506,87,19,17.4,14,0.202,0.376,0.316,0.692,0,0.308,0.352,90.7,31.6,9.3,7.2,23.8,28.7,28.7,2.3,44.9
"487","Harrison, Monte",656509,14,2,1,57.1,14.3,0.182,0.455,0.357,0.812,1,0.361,0.282,103,0,33.3,0,33.3,0,33.3,0,100
"488","Lopes, Christian",547173,10,0,0,50,10,0,0,0.1,0.1,0,0.069,0.222,91.1,75,0,25,50,25,0,0,25
"489","Thomas, Dillon",605504,14,1,0,42.9,14.3,0.091,0.091,0.286,0.377,0,0.213,0.217,82.9,0,0,0,20,20,40,20,40
"490","Hamilton, Caleb",643348,23,1,1,60.9,17.4,0.056,0.222,0.227,0.449,0,0.219,0.223,95.7,40,20,0,0,20,40,20,60
"491","Jackson, Alex",656577,12,3,0,58.3,0,0.25,0.25,0.25,0.5,0,0.221,0.172,79.7,40,0,0,40,20,40,0,0
"492","Krizan, Jason",607249,10,1,0,30,20,0.125,0.125,0.3,0.425,0,0.226,0.251,94.5,40,0,0,20,40,40,0,40
"493","Allen, Austin",664119,16,1,0,56.3,6.3,0.071,0.071,0.188,0.259,0,0.143,0.153,92.7,20,0,20,0,40,40,0,60
"494","Garneau, Dustin",572863,11,3,0,36.4,9.1,0.3,0.4,0.364,0.764,0,0.338,0.334,89.5,33.3,16.7,0,33.3,50,0,0,16.7
"495","Pineda, Israel",672832,14,1,0,50,7.1,0.077,0.077,0.143,0.22,0,0.112,0.131,88.9,33.3,0,0,16.7,33.3,50,0,16.7
"496","Outman, James",681546,16,6,1,43.8,12.5,0.462,0.846,0.563,1.409,0,0.584,0.319,99.6,50,0,33.3,50,16.7,0,0,83.3
"497","Short, Zack",670097,13,0,0,38.5,15.4,0,0,0.154,0.154,1,0.106,0.232,91.8,50,33.3,0,0,66.7,0,0,50
"498","Whitefield, Aaron",664334,11,0,0,45.5,0,0,0,0,0,0,0,0.189,95.3,33.3,16.7,16.7,0,0,66.7,0,50
"499","Dunand, Joe",656388,11,3,1,27.3,0,0.3,0.7,0.364,1.064,0,0.449,0.205,85.9,28.6,0,14.3,28.6,57.1,0,0,28.6
"500","Davis, Brendon",663478,11,2,0,27.3,9.1,0.2,0.2,0.273,0.473,1,0.223,0.311,88,42.9,14.3,0,28.6,42.9,14.3,0,42.9
"501","Okey, Chris",608360,13,2,0,38.5,0,0.167,0.167,0.231,0.398,0,0.191,0.2,86.2,14.3,0,0,28.6,28.6,42.9,0,14.3
"502","Katoh, Gosuke",641741,11,1,0,9.1,27.3,0.143,0.286,0.4,0.686,0,0.333,0.351,83.3,14.3,0,0,14.3,28.6,42.9,14.3,14.3
"503","Lopez, Otto",672640,10,6,0,10,10,0.667,0.667,0.7,1.367,0,0.599,0.302,85.5,37.5,0,0,50,12.5,37.5,0,37.5
"504","Pillar, Kevin",607680,13,1,0,30.8,7.7,0.083,0.167,0.154,0.321,0,0.15,0.272,88.2,25,12.5,12.5,12.5,12.5,50,0,25
"505","Alvarez, Francisco",682626,14,2,1,28.6,14.3,0.167,0.5,0.286,0.786,0,0.336,0.421,89.1,37.5,37.5,0,12.5,12.5,37.5,0,37.5
"506","Bradley, Bobby",656252,17,2,0,52.9,0,0.118,0.118,0.118,0.236,0,0.104,0.144,87.5,25,0,12.5,25,25,37.5,0,50
"507","Lavastida, Bryan",681526,15,1,0,26.7,20,0.083,0.083,0.267,0.35,0,0.197,0.221,87.6,0,0,0,0,37.5,50,12.5,37.5
"508","Dixon, Brandon",641525,14,3,0,35.7,0,0.214,0.286,0.214,0.5,0,0.216,0.234,88.4,33.3,0,0,44.4,33.3,22.2,0,33.3
"509","Ellis, Drew",656403,17,3,0,41.2,5.9,0.188,0.25,0.235,0.485,0,0.219,0.205,88.4,44.4,0,11.1,33.3,22.2,33.3,0,33.3
"510","Bannon, Rylan",676625,15,2,0,33.3,0,0.143,0.143,0.2,0.343,0,0.166,0.176,88.7,11.1,0,0,22.2,33.3,44.4,0,44.4
"511","Hamilton, Billy",571740,23,1,0,52.2,8.7,0.05,0.05,0.136,0.186,10,0.103,0.196,78.4,33.3,0,0,22.2,33.3,11.1,33.3,11.1
"512","Aguilar, Ryan",666922,26,3,0,53.8,7.7,0.136,0.182,0.231,0.413,0,0.197,0.204,93.3,44.4,0,22.2,22.2,33.3,22.2,0,33.3
"513","Walker, Steele",667727,16,1,1,25,12.5,0.071,0.286,0.188,0.474,0,0.216,0.317,88.2,30,20,0,30,20,30,0,40
"514","Machado, Dixon",553988,17,3,0,29.4,5.9,0.2,0.2,0.294,0.494,0,0.239,0.281,71.6,30,0,0,30,30,30,10,10
"515","Mastrobuoni, Miles",670156,17,3,0,35.3,5.9,0.188,0.188,0.235,0.423,1,0.196,0.196,86.3,20,0,0,20,20,60,0,10
"516","Kolozsvary, Mark",656627,21,4,1,42.9,4.8,0.2,0.45,0.238,0.688,0,0.294,0.236,88.3,45.5,9.1,0,27.3,9.1,54.5,0,45.5
"517","Godoy, Jose",608422,22,1,0,40.9,9.1,0.05,0.05,0.136,0.186,0,0.103,0.158,78,27.3,0,9.1,9.1,9.1,45.5,27.3,18.2
"518","O'Hoppe, Logan",681351,16,4,0,18.8,12.5,0.286,0.286,0.375,0.661,0,0.307,0.287,84.3,36.4,0,0,36.4,36.4,27.3,0,9.1
"519","Johnson, Bryce",669369,19,2,0,36.8,5.3,0.111,0.111,0.158,0.269,0,0.129,0.183,82.6,45.5,0,0,27.3,36.4,36.4,0,18.2
"520","Souza Jr., Steven",519306,19,3,0,42.1,0,0.158,0.158,0.158,0.316,0,0.14,0.169,83.3,36.4,0,0,27.3,45.5,27.3,0,18.2
"521","Severino, Pedro",600474,21,4,0,33.3,14.3,0.222,0.333,0.333,0.666,0,0.303,0.227,86.7,36.4,0,9.1,18.2,45.5,27.3,0,18.2
"522","Young, Jared",676724,22,5,0,31.8,13.6,0.263,0.368,0.364,0.732,1,0.329,0.316,90.7,41.7,8.3,8.3,41.7,16.7,25,0,50
"523","Shaw, Travis",543768,19,0,0,36.8,0,0,0,0,0,0,0,0.081,79.3,41.7,0,0,8.3,66.7,8.3,16.7,8.3
"524","Herrera, Ivan",671056,22,2,0,36.4,9.1,0.111,0.111,0.19,0.301,0,0.15,0.167,85.2,16.7,0,0,16.7,33.3,33.3,16.7,16.7
"525","Davis, Jaylin",664041,27,8,0,40.7,11.1,0.333,0.375,0.407,0.782,0,0.352,0.272,88.2,53.8,0,0,53.8,15.4,23.1,7.7,38.5
"526","Batten, Matthew",676946,22,2,0,27.3,9.1,0.105,0.158,0.227,0.385,0,0.193,0.258,86.3,38.5,0,7.7,23.1,15.4,46.2,7.7,30.8
