"","x","z","response","hand","pitch","pred"
"179",-2,-1.8,"strike","left","fastball",-14.4101795648165
"180",-2,-1.8,"strike","left","slider",-6.11974935999831
"181",-2,-1.8,"strike","right","changeup",-8.81353920560244
"182",-2,-1.8,"strike","right","curveball",-6.53897339329691
"183",-2,-1.8,"strike","right","fastball",-14.4095681385167
"184",-2,-1.8,"strike","right","slider",-5.28999394589353
"185",-2,-1.8,"whiff","left","changeup",-3.06126236488342
"186",-2,-1.8,"whiff","left","curveball",-6.21523854553022
"187",-2,-1.8,"whiff","left","fastball",-9.7073394012036
"188",-2,-1.8,"whiff","left","slider",-8.10752975618683
"189",-2,-1.8,"whiff","right","changeup",-4.3791002438245
"190",-2,-1.8,"whiff","right","curveball",-5.68962345493687
"191",-2,-1.8,"whiff","right","fastball",-8.3960866538699
"192",-2,-1.8,"whiff","right","slider",-4.94209860010667
"193",-2,-1.7,"barrel","left","changeup",-10.7754704683687
"194",-2,-1.7,"barrel","left","curveball",-10.0723530756384
"195",-2,-1.7,"barrel","left","fastball",-8.47632024066521
"196",-2,-1.7,"barrel","left","slider",-9.95757408992233
"197",-2,-1.7,"barrel","right","changeup",-5.88465035715655
"198",-2,-1.7,"barrel","right","curveball",-23.4300767125242
"199",-2,-1.7,"barrel","right","fastball",-7.47396638132521
"200",-2,-1.7,"barrel","right","slider",-8.07295418920411
"201",-2,-1.7,"strike","left","changeup",-7.10701854795596
"202",-2,-1.7,"strike","left","curveball",-6.39790879734584
"203",-2,-1.7,"strike","left","fastball",-13.7052367081431
"204",-2,-1.7,"strike","left","slider",-5.86233210914272
"205",-2,-1.7,"strike","right","changeup",-8.391103286562
"206",-2,-1.7,"strike","right","curveball",-6.28811337628743
"207",-2,-1.7,"strike","right","fastball",-13.7303400733669
"208",-2,-1.7,"strike","right","slider",-5.08035580319441
"209",-2,-1.7,"whiff","left","changeup",-2.85069149053525
"210",-2,-1.7,"whiff","left","curveball",-5.93345935871686
"211",-2,-1.7,"whiff","left","fastball",-9.21028559183425
"212",-2,-1.7,"whiff","left","slider",-7.82291066566057
"213",-2,-1.7,"whiff","right","changeup",-4.06319034658119
"214",-2,-1.7,"whiff","right","curveball",-5.46982195054452
"215",-2,-1.7,"whiff","right","fastball",-7.97032116625597
"216",-2,-1.7,"whiff","right","slider",-4.7921443718921
"217",-2,-1.6,"barrel","left","changeup",-10.2925046827222
"218",-2,-1.6,"barrel","left","curveball",-9.59532108471109
"219",-2,-1.6,"barrel","left","fastball",-8.10935441893606
"220",-2,-1.6,"barrel","left","slider",-9.34798660505989
"221",-2,-1.6,"barrel","right","changeup",-5.48342174244783
"222",-2,-1.6,"barrel","right","curveball",-22.4144072576379
"223",-2,-1.6,"barrel","right","fastball",-7.09781941859322
"224",-2,-1.6,"barrel","right","slider",-7.55155855422951
"225",-2,-1.6,"strike","left","changeup",-6.77967944060867
"226",-2,-1.6,"strike","left","curveball",-6.14795112807235
"227",-2,-1.6,"strike","left","fastball",-13.039233435983
"228",-2,-1.6,"strike","left","slider",-5.62030892566467
"229",-2,-1.6,"strike","right","changeup",-7.99385246492801
"230",-2,-1.6,"strike","right","curveball",-6.05199193519063
"231",-2,-1.6,"strike","right","fastball",-13.0885650208786
"232",-2,-1.6,"strike","right","slider",-4.88404139538113
"233",-2,-1.6,"whiff","left","changeup",-2.65937541737279
"234",-2,-1.6,"whiff","left","curveball",-5.67654029055638
"235",-2,-1.6,"whiff","left","fastball",-8.73506293931706
"236",-2,-1.6,"whiff","left","slider",-7.5565532593527
"237",-2,-1.6,"whiff","right","changeup",-3.77498361481934
"238",-2,-1.6,"whiff","right","curveball",-5.26512358454227
"239",-2,-1.6,"whiff","right","fastball",-7.56245763635054
"240",-2,-1.6,"whiff","right","slider",-4.65373726870325
"241",-2,-1.5,"barrel","left","changeup",-9.83752263619044
"242",-2,-1.5,"barrel","left","curveball",-9.15367445702335
"243",-2,-1.5,"barrel","left","fastball",-7.76459960103775
"244",-2,-1.5,"barrel","left","slider",-8.78344591939694
"245",-2,-1.5,"barrel","right","changeup",-5.10593569947915
"246",-2,-1.5,"barrel","right","curveball",-21.4572860578985
"247",-2,-1.5,"barrel","right","fastball",-6.74256795599218
"248",-2,-1.5,"barrel","right","slider",-7.06310158538705
"249",-2,-1.5,"strike","left","changeup",-6.4735167943443
"250",-2,-1.5,"strike","left","curveball",-5.9144456412584
"251",-2,-1.5,"strike","left","fastball",-12.4121697483364
"252",-2,-1.5,"strike","left","slider",-5.39367980956414
"253",-2,-1.5,"strike","right","changeup",-7.62178674070045
"254",-2,-1.5,"strike","right","curveball",-5.83060907000649
"255",-2,-1.5,"strike","right","fastball",-12.4842429810519
"256",-2,-1.5,"strike","right","slider",-4.70105072245368
"257",-2,-1.5,"whiff","left","changeup",-2.48731414539604
"258",-2,-1.5,"whiff","left","curveball",-5.4444813410488
"259",-2,-1.5,"whiff","left","fastball",-8.28167144365201
"260",-2,-1.5,"whiff","left","slider",-7.30845753726322
"261",-2,-1.5,"whiff","right","changeup",-3.51448004853896
"262",-2,-1.5,"whiff","right","curveball",-5.07552835693012
"263",-2,-1.5,"whiff","right","fastball",-7.17249606415361
"264",-2,-1.5,"whiff","right","slider",-4.52687729054013
"265",-2,-1.4,"barrel","left","changeup",-9.41052432877357
"266",-2,-1.4,"barrel","left","curveball",-8.74741319257522
"267",-2,-1.4,"barrel","left","fastball",-7.4420557869703
"268",-2,-1.4,"barrel","left","slider",-8.26395203293349
"269",-2,-1.4,"barrel","right","changeup",-4.75219222825053
"270",-2,-1.4,"barrel","right","curveball",-20.5587131133062
"271",-2,-1.4,"barrel","right","fastball",-6.4082119935221
"272",-2,-1.4,"barrel","right","slider",-6.60758328267673
"273",-2,-1.4,"strike","left","changeup",-6.18853060916287
"274",-2,-1.4,"strike","left","curveball",-5.69739233690398
"275",-2,-1.4,"strike","left","fastball",-11.8240456452031
"276",-2,-1.4,"strike","left","slider",-5.18244476084115
"277",-2,-1.4,"strike","right","changeup",-7.27490611387934
"278",-2,-1.4,"strike","right","curveball",-5.62396478073502
"279",-2,-1.4,"strike","right","fastball",-11.9173739538867
"280",-2,-1.4,"strike","right","slider",-4.53138378441206
"281",-2,-1.4,"whiff","left","changeup",-2.33450767460499
"282",-2,-1.4,"whiff","left","curveball",-5.2372825101941
"283",-2,-1.4,"whiff","left","fastball",-7.85011110483912
"284",-2,-1.4,"whiff","left","slider",-7.07862349939213
"285",-2,-1.4,"whiff","right","changeup",-3.28167964774005
"286",-2,-1.4,"whiff","right","curveball",-4.90103626770806
"287",-2,-1.4,"whiff","right","fastball",-6.80043644966518
"288",-2,-1.4,"whiff","right","slider",-4.41156443740272
"289",-2,-1.3,"barrel","left","changeup",-9.01150976047153
"290",-2,-1.3,"barrel","left","curveball",-8.37653729136668
"291",-2,-1.3,"barrel","left","fastball",-7.1417229767337
"292",-2,-1.3,"barrel","left","slider",-7.78950494566954
"293",-2,-1.3,"barrel","right","changeup",-4.42219132876196
"294",-2,-1.3,"barrel","right","curveball",-19.7186884238609
"295",-2,-1.3,"barrel","right","fastball",-6.09475153118299
"296",-2,-1.3,"barrel","right","slider",-6.18500364609856
"297",-2,-1.3,"strike","left","changeup",-5.92472088506437
"298",-2,-1.3,"strike","left","curveball",-5.49679121500911
"299",-2,-1.3,"strike","left","fastball",-11.2748611265832
"300",-2,-1.3,"strike","left","slider",-4.98660377949569
"301",-2,-1.3,"strike","right","changeup",-6.95321058446467
"302",-2,-1.3,"strike","right","curveball",-5.43205906737621
"303",-2,-1.3,"strike","right","fastball",-11.3879579393832
"304",-2,-1.3,"strike","right","slider",-4.37504058125626
"305",-2,-1.3,"whiff","left","changeup",-2.20095600499964
"306",-2,-1.3,"whiff","left","curveball",-5.05494379799229
"307",-2,-1.3,"whiff","left","fastball",-7.44038192287839
"308",-2,-1.3,"whiff","left","slider",-6.86705114573944
"309",-2,-1.3,"whiff","right","changeup",-3.07658241242261
"310",-2,-1.3,"whiff","right","curveball",-4.7416473168761
"311",-2,-1.3,"whiff","right","fastball",-6.44627879288525
"312",-2,-1.3,"whiff","right","slider",-4.30779870929103
"313",-2,-1.2,"barrel","left","changeup",-8.64047893128433
"314",-2,-1.2,"barrel","left","curveball",-8.04104675339776
"315",-2,-1.2,"barrel","left","fastball",-6.86360117032794
"316",-2,-1.2,"barrel","left","slider",-7.36010465760509
"317",-2,-1.2,"barrel","right","changeup",-4.11593300101343
"318",-2,-1.2,"barrel","right","curveball",-18.9372119895626
"319",-2,-1.2,"barrel","right","fastball",-5.80218656897483
"320",-2,-1.2,"barrel","right","slider",-5.79536267565254
"321",-2,-1.2,"strike","left","changeup",-5.68208762204881
"322",-2,-1.2,"strike","left","curveball",-5.31264227557378
"323",-2,-1.2,"strike","left","fastball",-10.7646161924767
"324",-2,-1.2,"strike","left","slider",-4.80615686552777
"325",-2,-1.2,"strike","right","changeup",-6.65670015245644
"326",-2,-1.2,"strike","right","curveball",-5.25489192993008
"327",-2,-1.2,"strike","right","fastball",-10.8959949375412
"328",-2,-1.2,"strike","right","slider",-4.2320211129863
"329",-2,-1.2,"whiff","left","changeup",-2.08665913658001
"330",-2,-1.2,"whiff","left","curveball",-4.89746520444337
"331",-2,-1.2,"whiff","left","fastball",-7.0524838977698
"332",-2,-1.2,"whiff","left","slider",-6.67374047630514
"333",-2,-1.2,"whiff","right","changeup",-2.89918834258665
"334",-2,-1.2,"whiff","right","curveball",-4.59736150443424
